S.NO.   STATION ID  Major Lat   Minor Lat   LATITUDE    Major Lat   Minor Lat   LONGITUDE
1     T03416L11900      34.0000     16.0000     34.5000     119.0000    0.0000      119.0000
2     T03414L11900      34.0000     14.0000     34.4375     119.0000    0.0000      119.0000
3     T03412L11900      34.0000     12.0000     34.3750     119.0000    0.0000      119.0000
4     T03410L11900      34.0000     10.0000     34.3125     119.0000    0.0000      119.0000
5     T03408L11900      34.0000     8.0000      34.2500     119.0000    0.0000      119.0000
6     T03406L11900      34.0000     6.0000      34.1875     119.0000    0.0000      119.0000
7     T03404L11900      34.0000     4.0000      34.1250     119.0000    0.0000      119.0000
8     T03416L11830      34.0000     16.0000     34.5000     118.0000    30.0000     118.9375
9     T03414L11830      34.0000     14.0000     34.4375     118.0000    30.0000     118.9375
10    T03412L11830      34.0000     12.0000     34.3750     118.0000    30.0000     118.9375
11    T03410L11830      34.0000     10.0000     34.3125     118.0000    30.0000     118.9375
12    T03408L11830      34.0000     8.0000      34.2500     118.0000    30.0000     118.9375
13    T03406L11830      34.0000     6.0000      34.1875     118.0000    30.0000     118.9375
14    T03404L11830      34.0000     4.0000      34.1250     118.0000    30.0000     118.9375
15    T03402L11830      34.0000     2.0000      34.0625     118.0000    30.0000     118.9375
16    T03416L11828      34.0000     16.0000     34.5000     118.0000    28.0000     118.8750
17    T03414L11828      34.0000     14.0000     34.4375     118.0000    28.0000     118.8750
18    T03412L11828      34.0000     12.0000     34.3750     118.0000    28.0000     118.8750
19    T03410L11828      34.0000     10.0000     34.3125     118.0000    28.0000     118.8750
20    T03408L11828      34.0000     8.0000      34.2500     118.0000    28.0000     118.8750
21    T03406L11828      34.0000     6.0000      34.1875     118.0000    28.0000     118.8750
22    T03404L11828      34.0000     4.0000      34.1250     118.0000    28.0000     118.8750
23    T03402L11828      34.0000     2.0000      34.0625     118.0000    28.0000     118.8750
24    T03416L11826      34.0000     16.0000     34.5000     118.0000    26.0000     118.8125
25    T03414L11826      34.0000     14.0000     34.4375     118.0000    26.0000     118.8125
26    T03412L11826      34.0000     12.0000     34.3750     118.0000    26.0000     118.8125
27    T03411L11826      34.0000     11.0000     34.3438     118.0000    26.0000     118.8125
28    T03410L11826      34.0000     10.0000     34.3125     118.0000    26.0000     118.8125
29    T03409L11826      34.0000     9.0000      34.2813     118.0000    26.0000     118.8125
30    T03408L11826      34.0000     8.0000      34.2500     118.0000    26.0000     118.8125
31    T03407L11826      34.0000     7.0000      34.2188     118.0000    26.0000     118.8125
32    T03406L11826      34.0000     6.0000      34.1875     118.0000    26.0000     118.8125
33    T03404L11826      34.0000     4.0000      34.1250     118.0000    26.0000     118.8125
34    T03402L11826      34.0000     2.0000      34.0625     118.0000    26.0000     118.8125
35    T03412L11825      34.0000     12.0000     34.3750     118.0000    25.0000     118.7813
36    T03411L11825      34.0000     11.0000     34.3438     118.0000    25.0000     118.7813
37    T03410L11825      34.0000     10.0000     34.3125     118.0000    25.0000     118.7813
38    T03409L11825      34.0000     9.0000      34.2813     118.0000    25.0000     118.7813
39    T03408L11825      34.0000     8.0000      34.2500     118.0000    25.0000     118.7813
40    T03407L11825      34.0000     7.0000      34.2188     118.0000    25.0000     118.7813
41    T03406L11825      34.0000     6.0000      34.1875     118.0000    25.0000     118.7813
42    T03416L11824      34.0000     16.0000     34.5000     118.0000    24.0000     118.7500
43    T03414L11824      34.0000     14.0000     34.4375     118.0000    24.0000     118.7500
44    T03412L11824      34.0000     12.0000     34.3750     118.0000    24.0000     118.7500
45    T03411L11824      34.0000     11.0000     34.3438     118.0000    24.0000     118.7500
46    T03410L11824      34.0000     10.0000     34.3125     118.0000    24.0000     118.7500
47    T03409L11824      34.0000     9.0000      34.2813     118.0000    24.0000     118.7500
48    T03408L11824      34.0000     8.0000      34.2500     118.0000    24.0000     118.7500
49    T03407L11824      34.0000     7.0000      34.2188     118.0000    24.0000     118.7500
50    T03406L11824      34.0000     6.0000      34.1875     118.0000    24.0000     118.7500
