THE FOLLOWING ARE THE GEOGRAPHIC LOCATIONS OF THE STATIONS IN LOS ANGELES
BASIN AND THE SAN FERNANDO VALLEY AT WHICH GROUND MOTION IS GENERATED
S. NO.      STATION ID  LATITUDE    LONGITUDE
1     T03416L11900      34.5000     119.0000
2     T03414L11900      34.4375     119.0000
3     T03412L11900      34.3750     119.0000
4     T03410L11900      34.3125     119.0000
5     T03408L11900      34.2500     119.0000
6     T03406L11900      34.1875     119.0000
7     T03404L11900      34.1250     119.0000
8     T03416L11830      34.5000     118.9375
9     T03414L11830      34.4375     118.9375
10    T03412L11830      34.3750     118.9375
11    T03410L11830      34.3125     118.9375
12    T03408L11830      34.2500     118.9375
13    T03406L11830      34.1875     118.9375
14    T03404L11830      34.1250     118.9375
15    T03402L11830      34.0625     118.9375
16    T03416L11828      34.5000     118.8750
17    T03414L11828      34.4375     118.8750
18    T03412L11828      34.3750     118.8750
19    T03410L11828      34.3125     118.8750
20    T03408L11828      34.2500     118.8750
21    T03406L11828      34.1875     118.8750
22    T03404L11828      34.1250     118.8750
23    T03402L11828      34.0625     118.8750
24    T03416L11826      34.5000     118.8125
25    T03414L11826      34.4375     118.8125
26    T03412L11826      34.3750     118.8125
27    T03411L11826      34.3438     118.8125
28    T03410L11826      34.3125     118.8125
29    T03409L11826      34.2813     118.8125
30    T03408L11826      34.2500     118.8125
31    T03407L11826      34.2188     118.8125
32    T03406L11826      34.1875     118.8125
33    T03404L11826      34.1250     118.8125
34    T03402L11826      34.0625     118.8125
35    T03412L11825      34.3750     118.7813
36    T03411L11825      34.3438     118.7813
37    T03410L11825      34.3125     118.7813
38    T03409L11825      34.2813     118.7813
39    T03408L11825      34.2500     118.7813
40    T03407L11825      34.2188     118.7813
41    T03406L11825      34.1875     118.7813
42    T03416L11824      34.5000     118.7500
43    T03414L11824      34.4375     118.7500
44    T03412L11824      34.3750     118.7500
45    T03411L11824      34.3438     118.7500
46    T03410L11824      34.3125     118.7500
47    T03409L11824      34.2813     118.7500
48    T03408L11824      34.2500     118.7500
49    T03407L11824      34.2188     118.7500
50    T03406L11824      34.1875     118.7500
51    T03404L11824      34.1250     118.7500
52    T03402L11824      34.0625     118.7500
53    T03412L11823      34.3750     118.7188
54    T03411L11823      34.3438     118.7188
55    T03410L11823      34.3125     118.7188
56    T03409L11823      34.2813     118.7188
57    T03408L11823      34.2500     118.7188
58    T03407L11823      34.2188     118.7188
59    T03406L11823      34.1875     118.7188
60    T03416L11822      34.5000     118.6875
61    T03414L11822      34.4375     118.6875
62    T03412L11822      34.3750     118.6875
63    T03411L11822      34.3438     118.6875
64    T03410L11822      34.3125     118.6875
65    T03409L11822      34.2813     118.6875
66    T03408L11822      34.2500     118.6875
67    T03407L11822      34.2188     118.6875
68    T03406L11822      34.1875     118.6875
69    T03404L11822      34.1250     118.6875
70    T03402L11822      34.0625     118.6875
71    T03412L11821      34.3750     118.6563
72    T03411L11821      34.3438     118.6563
73    T03410L11821      34.3125     118.6563
74    T03409L11821      34.2813     118.6563
75    T03408L11821      34.2500     118.6563
76    T03407L11821      34.2188     118.6563
77    T03406L11821      34.1875     118.6563
78    T03416L11820      34.5000     118.6250
79    T03414L11820      34.4375     118.6250
80    T03412L11820      34.3750     118.6250
81    T03411L11820      34.3438     118.6250
82    T03410L11820      34.3125     118.6250
83    T03409L11820      34.2813     118.6250
84    T03408L11820      34.2500     118.6250
85    T03407L11820      34.2188     118.6250
86    T03406L11820      34.1875     118.6250
87    T03404L11820      34.1250     118.6250
88    T03402L11820      34.0625     118.6250
89    T03412L11819      34.3750     118.5938
90    T03411L11819      34.3438     118.5938
91    T03410L11819      34.3125     118.5938
92    T03409L11819      34.2813     118.5938
93    T03408L11819      34.2500     118.5938
94    T03407L11819      34.2188     118.5938
95    T03406L11819      34.1875     118.5938
96    T03416L11818      34.5000     118.5625
97    T03414L11818      34.4375     118.5625
98    T03412L11818      34.3750     118.5625
99    T03411L11818      34.3438     118.5625
100   T03410L11818      34.3125     118.5625
101   T03409L11818      34.2813     118.5625
102   T03408L11818      34.2500     118.5625
103   T03407L11818      34.2188     118.5625
104   T03406L11818      34.1875     118.5625
105   T03404L11818      34.1250     118.5625
106   T03402L11818      34.0625     118.5625
107   T03412L11817      34.3750     118.5313
108   T03411L11817      34.3438     118.5313
109   T03410L11817      34.3125     118.5313
110   T03409L11817      34.2813     118.5313
111   T03408L11817      34.2500     118.5313
112   T03407L11817      34.2188     118.5313
113   T03406L11817      34.1875     118.5313
114   T03416L11816      34.5000     118.5000
115   T03414L11816      34.4375     118.5000
116   T03412L11816      34.3750     118.5000
117   T03411L11816      34.3438     118.5000
118   T03410L11816      34.3125     118.5000
119   T03409L11816      34.2813     118.5000
120   T03408L11816      34.2500     118.5000
121   T03407L11816      34.2188     118.5000
122   T03406L11816      34.1875     118.5000
123   T03405L11816      34.1563     118.5000
124   T03404L11816      34.1250     118.5000
125   T03403L11816      34.0938     118.5000
126   T03402L11816      34.0625     118.5000
127   T03401L11816      34.0313     118.5000
128   T03412L11815      34.3750     118.4688
129   T03411L11815      34.3438     118.4688
130   T03410L11815      34.3125     118.4688
131   T03409L11815      34.2813     118.4688
132   T03408L11815      34.2500     118.4688
133   T03407L11815      34.2188     118.4688
134   T03406L11815      34.1875     118.4688
135   T03405L11815      34.1563     118.4688
136   T03404L11815      34.1250     118.4688
137   T03403L11815      34.0938     118.4688
138   T03402L11815      34.0625     118.4688
139   T03401L11815      34.0313     118.4688
140   T03400L11815      34.0000     118.4688
141   T03416L11814      34.5000     118.4375
142   T03414L11814      34.4375     118.4375
143   T03412L11814      34.3750     118.4375
144   T03411L11814      34.3438     118.4375
145   T03410L11814      34.3125     118.4375
146   T03409L11814      34.2813     118.4375
147   T03408L11814      34.2500     118.4375
148   T03407L11814      34.2188     118.4375
149   T03406L11814      34.1875     118.4375
150   T03405L11814      34.1563     118.4375
151   T03404L11814      34.1250     118.4375
152   T03403L11814      34.0938     118.4375
153   T03402L11814      34.0625     118.4375
154   T03401L11814      34.0313     118.4375
155   T03400L11814      34.0000     118.4375
156   T03330L11814      33.9375     118.4375
157   T03412L11813      34.3750     118.4063
158   T03411L11813      34.3438     118.4063
159   T03410L11813      34.3125     118.4063
160   T03409L11813      34.2813     118.4063
161   T03408L11813      34.2500     118.4063
162   T03407L11813      34.2188     118.4063
163   T03406L11813      34.1875     118.4063
164   T03405L11813      34.1563     118.4063
165   T03404L11813      34.1250     118.4063
166   T03403L11813      34.0938     118.4063
167   T03402L11813      34.0625     118.4063
168   T03401L11813      34.0313     118.4063
169   T03400L11813      34.0000     118.4063
170   T03416L11812      34.5000     118.4375
171   T03414L11812      34.4375     118.4375
172   T03412L11812      34.3750     118.4375
173   T03411L11812      34.3438     118.4375
174   T03410L11812      34.3125     118.4375
175   T03409L11812      34.2813     118.4375
176   T03408L11812      34.2500     118.4375
177   T03407L11812      34.2188     118.4375
178   T03406L11812      34.1875     118.4375
179   T03405L11812      34.1563     118.4375
180   T03404L11812      34.1250     118.4375
181   T03403L11812      34.0938     118.4375
182   T03402L11812      34.0625     118.4375
183   T03401L11812      34.0313     118.4375
184   T03400L11812      34.0000     118.4375
185   T03330L11812      33.9375     118.4375
186   T03328L11812      33.8750     118.4375
187   T03326L11812      33.8125     118.4375
188   T03324L11812      33.7500     118.4375
189   T03406L11811      34.1875     118.3438
190   T03405L11811      34.1563     118.3438
191   T03404L11811      34.1250     118.3438
192   T03403L11811      34.0938     118.3438
193   T03402L11811      34.0625     118.3438
194   T03401L11811      34.0313     118.3438
195   T03400L11811      34.0000     118.3438
196   T03416L11810      34.5000     118.3125
197   T03414L11810      34.4375     118.3125
198   T03412L11810      34.3750     118.3125
199   T03410L11810      34.3125     118.3125
200   T03408L11810      34.2500     118.3125
201   T03406L11810      34.1875     118.3125
202   T03405L11810      34.1563     118.3125
203   T03404L11810      34.1250     118.3125
204   T03403L11810      34.0938     118.3125
205   T03402L11810      34.0625     118.3125
206   T03401L11810      34.0313     118.3125
207   T03400L11810      34.0000     118.3125
208   T03330L11810      33.9375     118.3125
209   T03328L11810      33.8750     118.3125
210   T03326L11810      33.8125     118.3125
211   T03324L11810      33.7500     118.3125
212   T03406L11809      34.1875     118.2813
213   T03405L11809      34.1563     118.2813
214   T03404L11809      34.1250     118.2813
215   T03403L11809      34.0938     118.2813
216   T03402L11809      34.0625     118.2813
217   T03401L11809      34.0313     118.2813
218   T03400L11809      34.0000     118.2813
219   T03416L11808      34.5000     118.2500
220   T03414L11808      34.4375     118.2500
221   T03412L11808      34.3750     118.2500
222   T03410L11808      34.3125     118.2500
223   T03408L11808      34.2500     118.2500
224   T03406L11808      34.1875     118.2500
225   T03405L11808      34.1563     118.2500
226   T03404L11808      34.1250     118.2500
227   T03403L11808      34.0938     118.2500
228   T03402L11808      34.0625     118.2500
229   T03401L11808      34.0313     118.2500
230   T03400L11808      34.0000     118.2500
231   T03330L11808      33.9375     118.2500
232   T03328L11808      33.8750     118.2500
233   T03326L11808      33.8125     118.2500
234   T03324L11808      33.7500     118.2500
235   T03406L11807      34.1875     118.2188
236   T03405L11807      34.1563     118.2188
237   T03404L11807      34.1250     118.2188
238   T03403L11807      34.0938     118.2188
239   T03402L11807      34.0625     118.2188
240   T03401L11807      34.0313     118.2188
241   T03400L11807      34.0000     118.2188
242   T03408L11806      34.2500     118.1875
243   T03406L11806      34.1875     118.1875
244   T03405L11806      34.1563     118.1875
245   T03404L11806      34.1250     118.1875
246   T03403L11806      34.0938     118.1875
247   T03402L11806      34.0625     118.1875
248   T03401L11806      34.0313     118.1875
249   T03400L11806      34.0000     118.1875
250   T03330L11806      33.9375     118.1875
251   T03328L11806      33.8750     118.1875
252   T03326L11806      33.8125     118.1875
253   T03406L11805      34.1875     118.1563
254   T03405L11805      34.1563     118.1563
255   T03404L11805      34.1250     118.1563
256   T03403L11805      34.0938     118.1563
257   T03402L11805      34.0625     118.1563
258   T03401L11805      34.0313     118.1563
259   T03400L11805      34.0000     118.1563
260   T03408L11804      34.2500     118.1875
261   T03406L11804      34.1875     118.1875
262   T03405L11804      34.1563     118.1875
263   T03404L11804      34.1250     118.1875
264   T03403L11804      34.0938     118.1875
265   T03402L11804      34.0625     118.1875
266   T03401L11804      34.0313     118.1875
267   T03400L11804      34.0000     118.1875
268   T03330L11804      33.9375     118.1875
269   T03328L11804      33.8750     118.1875
270   T03326L11804      33.8125     118.1875
271   T03324L11804      33.7500     118.1875
272   T03406L11803      34.1875     118.0938
273   T03405L11803      34.1563     118.0938
274   T03404L11803      34.1250     118.0938
275   T03403L11803      34.0938     118.0938
276   T03402L11803      34.0625     118.0938
277   T03401L11803      34.0313     118.0938
278   T03400L11803      34.0000     118.0938
279   T03408L11802      34.2500     118.0625
280   T03406L11802      34.1875     118.0625
281   T03405L11802      34.1563     118.0625
282   T03404L11802      34.1250     118.0625
283   T03403L11802      34.0938     118.0625
284   T03402L11802      34.0625     118.0625
285   T03401L11802      34.0313     118.0625
286   T03400L11802      34.0000     118.0625
287   T03330L11802      33.9375     118.0625
288   T03328L11802      33.8750     118.0625
289   T03326L11802      33.8125     118.0625
290   T03324L11802      33.7500     118.0625
291   T03408L11800      34.2500     118.0000
292   T03406L11800      34.1875     118.0000
293   T03404L11800      34.1250     118.0000
294   T03402L11800      34.0625     118.0000
295   T03400L11800      34.0000     118.0000
296   T03330L11800      33.9375     118.0000
297   T03328L11800      33.8750     118.0000
298   T03326L11800      33.8125     118.0000
299   T03324L11800      33.7500     118.0000
300   T03322L11800      33.6875     118.0000
301   T03408L11730      34.2500     117.9375
302   T03406L11730      34.1875     117.9375
303   T03404L11730      34.1250     117.9375
304   T03402L11730      34.0625     117.9375
305   T03400L11730      34.0000     117.9375
306   T03330L11730      33.9375     117.9375
307   T03328L11730      33.8750     117.9375
308   T03326L11730      33.8125     117.9375
309   T03324L11730      33.7500     117.9375
310   T03322L11730      33.6875     117.9375
311   T03408L11728      34.2500     117.8750
312   T03406L11728      34.1875     117.8750
313   T03404L11728      34.1250     117.8750
314   T03402L11728      34.0625     117.8750
315   T03400L11728      34.0000     117.8750
316   T03330L11728      33.9375     117.8750
317   T03328L11728      33.8750     117.8750
318   T03326L11728      33.8125     117.8750
319   T03324L11728      33.7500     117.8750
320   T03322L11728      33.6875     117.8750
321   T03320L11728      33.6250     117.8750
322   T03408L11726      34.2500     117.8125
323   T03406L11726      34.1875     117.8125
324   T03404L11726      34.1250     117.8125
325   T03402L11726      34.0625     117.8125
326   T03400L11726      34.0000     117.8125
327   T03330L11726      33.9375     117.8125
328   T03328L11726      33.8750     117.8125
329   T03326L11726      33.8125     117.8125
330   T03324L11726      33.7500     117.8125
331   T03322L11726      33.6875     117.8125
332   T03320L11726      33.6250     117.8125
333   T03318L11726      33.5625     117.8125
334   T03408L11724      34.2500     117.7500
335   T03406L11724      34.1875     117.7500
336   T03404L11724      34.1250     117.7500
337   T03402L11724      34.0625     117.7500
338   T03400L11724      34.0000     117.7500
339   T03330L11724      33.9375     117.7500
340   T03328L11724      33.8750     117.7500
341   T03326L11724      33.8125     117.7500
342   T03324L11724      33.7500     117.7500
343   T03322L11724      33.6875     117.7500
344   T03320L11724      33.6250     117.7500
345   T03318L11724      33.6250     117.7500
