# problem=TPV104
# author=Surendra Nadh Somala
# Date = 03/03/2021; time = 11:01:37
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=4000 m  (w/ 5 GLL nodes)
# time_step=  0.2500000E-02
# location=faultst000dp120
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
# Column #9 = log10 of state variable (log-seconds)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress log-theta
#
  0.2500000E-02  0.0000000E+00  0.9548066E-05  0.7499809E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03  0.9205810E+01
  0.5000000E-02  0.4774033E-07  0.9539482E-05  0.7500191E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03  0.9205810E+01
  0.7500000E-02  0.4769741E-07  0.9563731E-05  0.7499808E+02  0.0000000E+00 -0.5856503E-28 -0.4604199E-21 -0.1200000E+03  0.9205809E+01
  0.1000000E-01  0.9555897E-07  0.9540889E-05  0.7500192E+02 -0.2942821E-30  0.1487501E-25  0.1172915E-18 -0.1200000E+03  0.9205809E+01
  0.1250000E-01  0.9540185E-07  0.9550886E-05  0.7499807E+02  0.7494179E-28 -0.6331271E-21 -0.4968133E-14 -0.1200000E+03  0.9205808E+01
  0.1500000E-01  0.1433134E-06  0.9553763E-05  0.7500192E+02 -0.3179182E-23  0.7287308E-24  0.5739560E-17 -0.1200000E+03  0.9205808E+01
  0.1750000E-01  0.1431707E-06  0.9549532E-05  0.7499807E+02  0.3721846E-26  0.4727149E-21  0.3737328E-14 -0.1200000E+03  0.9205807E+01
  0.2000000E-01  0.1910611E-06  0.9538200E-05  0.7500192E+02 -0.8175691E-24 -0.1264489E-20 -0.9920424E-14 -0.1200000E+03  0.9205807E+01
  0.2250000E-01  0.1908617E-06  0.9559737E-05  0.7499806E+02 -0.6347800E-23  0.2932493E-23  0.2303961E-16 -0.1200000E+03  0.9205806E+01
  0.2500000E-01  0.2388597E-06  0.9534230E-05  0.7500193E+02 -0.8028585E-24 -0.2516939E-20 -0.1983714E-13 -0.1200000E+03  0.9205805E+01
  0.2750000E-01  0.2385328E-06  0.9541623E-05  0.7499805E+02 -0.1894675E-22  0.7151437E-21  0.5650588E-14 -0.1200000E+03  0.9205805E+01
  0.3000000E-01  0.2865679E-06  0.9541958E-05  0.7500193E+02  0.2791141E-23 -0.1253241E-20 -0.9855611E-14 -0.1200000E+03  0.9205804E+01
  0.3250000E-01  0.2862427E-06  0.9535261E-05  0.7499805E+02 -0.2523509E-22  0.1986272E-20  0.1562679E-13 -0.1200000E+03  0.9205804E+01
  0.3500000E-01  0.3342442E-06  0.9561496E-05  0.7500192E+02  0.1277586E-22  0.3650852E-20  0.2868868E-13 -0.1200000E+03  0.9205803E+01
  0.3750000E-01  0.3340501E-06  0.9540759E-05  0.7499806E+02 -0.6969744E-23  0.2181461E-20  0.1718446E-13 -0.1200000E+03  0.9205803E+01
  0.4000000E-01  0.3819480E-06  0.9552986E-05  0.7500191E+02  0.2373742E-22  0.1360324E-22  0.1070081E-15 -0.1200000E+03  0.9205802E+01
  0.4250000E-01  0.3818150E-06  0.9558235E-05  0.7499806E+02 -0.6901384E-23 -0.2523255E-20 -0.1977571E-13 -0.1200000E+03  0.9205802E+01
  0.4500000E-01  0.4297391E-06  0.9556522E-05  0.7500191E+02  0.1111847E-22  0.2905073E-20  0.2293725E-13 -0.1200000E+03  0.9205801E+01
  0.4750000E-01  0.4295976E-06  0.9547873E-05  0.7499806E+02  0.7643343E-23  0.5437318E-20  0.4280299E-13 -0.1200000E+03  0.9205801E+01
  0.5000000E-01  0.4774785E-06  0.9532316E-05  0.7500191E+02  0.3841301E-22  0.1069599E-22  0.8407934E-16 -0.1200000E+03  0.9205800E+01
  0.5250000E-01  0.4772592E-06  0.9549837E-05  0.7499805E+02  0.7698273E-23  0.9321938E-23  0.7307321E-16 -0.1200000E+03  0.9205799E+01
  0.5500000E-01  0.5252276E-06  0.9560494E-05  0.7500191E+02  0.3846067E-22  0.3266208E-21  0.2569979E-14 -0.1200000E+03  0.9205799E+01
  0.5750000E-01  0.5250616E-06  0.9564304E-05  0.7499805E+02  0.9338094E-23  0.4307676E-20  0.3395909E-13 -0.1200000E+03  0.9205798E+01
  0.6000000E-01  0.5730491E-06  0.9561296E-05  0.7500191E+02  0.5994475E-22  0.1330113E-22  0.1045074E-15 -0.1200000E+03  0.9205798E+01
  0.6250000E-01  0.5728681E-06  0.9551499E-05  0.7499805E+02  0.9396255E-23 -0.4613947E-20 -0.3638610E-13 -0.1200000E+03  0.9205797E+01
  0.6500000E-01  0.6208066E-06  0.9534949E-05  0.7500191E+02  0.3680954E-22  0.5499891E-20  0.4313057E-13 -0.1200000E+03  0.9205797E+01
  0.6750000E-01  0.6205428E-06  0.9551646E-05  0.7499805E+02  0.3688709E-22  0.3592479E-20  0.2836624E-13 -0.1200000E+03  0.9205796E+01
  0.7000000E-01  0.6685648E-06  0.9561650E-05  0.7500191E+02  0.5490411E-22 -0.3566009E-20 -0.2816056E-13 -0.1200000E+03  0.9205796E+01
  0.7250000E-01  0.6683510E-06  0.9564988E-05  0.7499805E+02  0.1902515E-22  0.8370357E-23  0.6601059E-16 -0.1200000E+03  0.9205795E+01
  0.7500000E-01  0.7163898E-06  0.9561690E-05  0.7500191E+02  0.5495581E-22 -0.5061550E-20 -0.3970515E-13 -0.1200000E+03  0.9205795E+01
  0.7750000E-01  0.7161595E-06  0.9551801E-05  0.7499805E+02 -0.6307252E-23  0.5071079E-20  0.3975269E-13 -0.1200000E+03  0.9205794E+01
  0.8000000E-01  0.7641488E-06  0.9535360E-05  0.7500191E+02  0.8023652E-22 -0.4830606E-23 -0.3787475E-16 -0.1200000E+03  0.9205793E+01
  0.8250000E-01  0.7638364E-06  0.9552370E-05  0.7499804E+02 -0.6514047E-23 -0.1647899E-22 -0.1295554E-15 -0.1200000E+03  0.9205793E+01
  0.8500000E-01  0.8119107E-06  0.9562899E-05  0.7500191E+02  0.8002972E-22 -0.5087225E-20 -0.3994657E-13 -0.1200000E+03  0.9205792E+01
  0.8750000E-01  0.8116509E-06  0.9566982E-05  0.7499804E+02 -0.3226004E-22 -0.2995586E-20 -0.2356063E-13 -0.1200000E+03  0.9205792E+01
  0.9000000E-01  0.8597456E-06  0.9564656E-05  0.7500191E+02  0.6472688E-22 -0.1416398E-20 -0.1115982E-13 -0.1200000E+03  0.9205791E+01
  0.9250000E-01  0.8594741E-06  0.9555966E-05  0.7499804E+02 -0.3949787E-22 -0.5084052E-20 -0.4005383E-13 -0.1200000E+03  0.9205791E+01
  0.9500000E-01  0.9075254E-06  0.9540961E-05  0.7500191E+02  0.3908428E-22 -0.5069228E-20 -0.4003399E-13 -0.1200000E+03  0.9205791E+01
  0.9750000E-01  0.9071790E-06  0.9559650E-05  0.7499803E+02 -0.6493368E-22  0.5031639E-20  0.3946343E-13 -0.1200000E+03  0.9205791E+01
  0.9999999E-01  0.9553237E-06  0.9532152E-05  0.7500192E+02  0.6452009E-22 -0.2239608E-20 -0.1764804E-13 -0.1200000E+03  0.9205790E+01
  0.1025000E+00  0.9548397E-06  0.9538448E-05  0.7499802E+02 -0.7589382E-22 -0.2172044E-20 -0.1707023E-13 -0.1200000E+03  0.9205790E+01
  0.1050000E+00  0.1003016E-05  0.9538619E-05  0.7500192E+02  0.5376674E-22 -0.2169000E-20 -0.1703243E-13 -0.1200000E+03  0.9205789E+01
  0.1075000E+00  0.1002533E-05  0.9532719E-05  0.7499802E+02 -0.8706076E-22 -0.1294641E-20 -0.1018152E-13 -0.1200000E+03  0.9205788E+01
  0.1100000E+00  0.1050680E-05  0.9560743E-05  0.7500191E+02  0.4714929E-22 -0.1013766E-19 -0.7967886E-13 -0.1200000E+03  0.9205788E+01
  0.1125000E+00  0.1050337E-05  0.9542820E-05  0.7499803E+02 -0.1379324E-21  0.8666733E-20  0.6814680E-13 -0.1200000E+03  0.9205787E+01
  0.1150000E+00  0.1098394E-05  0.9558917E-05  0.7500191E+02  0.9042118E-22 -0.3572360E-20 -0.2808169E-13 -0.1200000E+03  0.9205787E+01
  0.1175000E+00  0.1098131E-05  0.9529177E-05  0.7499804E+02 -0.1558718E-21 -0.4415161E-20 -0.3463193E-13 -0.1200000E+03  0.9205786E+01
  0.1200000E+00  0.1146040E-05  0.9533570E-05  0.7500190E+02  0.6865599E-22  0.8650325E-20  0.6790690E-13 -0.1200000E+03  0.9205786E+01
  0.1225000E+00  0.1145799E-05  0.9532197E-05  0.7499804E+02 -0.1120830E-21 -0.1449909E-19 -0.1137863E-12 -0.1200000E+03  0.9205785E+01
  0.1250000E+00  0.1193701E-05  0.9565062E-05  0.7500188E+02 -0.3308722E-23 -0.2303927E-20 -0.1808553E-13 -0.1200000E+03  0.9205785E+01
  0.1275000E+00  0.1193624E-05  0.9552289E-05  0.7499805E+02 -0.1224227E-21  0.2134523E-20  0.1669929E-13 -0.1200000E+03  0.9205784E+01
  0.1300000E+00  0.1241462E-05  0.9533900E-05  0.7500188E+02  0.7444626E-23  0.1012204E-19  0.7948899E-13 -0.1200000E+03  0.9205784E+01
  0.1325000E+00  0.1241294E-05  0.9549918E-05  0.7499804E+02 -0.7279189E-22 -0.4260578E-20 -0.3353655E-13 -0.1200000E+03  0.9205783E+01
  0.1350000E+00  0.1289212E-05  0.9560433E-05  0.7500188E+02 -0.1488925E-22  0.1011357E-19  0.7951287E-13 -0.1200000E+03  0.9205782E+01
  0.1375000E+00  0.1289096E-05  0.9565493E-05  0.7499804E+02 -0.2316106E-22 -0.1675162E-23 -0.1320106E-16 -0.1200000E+03  0.9205782E+01
  0.1400000E+00  0.1337039E-05  0.9565157E-05  0.7500188E+02 -0.1488925E-22  0.1727100E-19  0.1359938E-12 -0.1200000E+03  0.9205781E+01
  0.1425000E+00  0.1336922E-05  0.9559483E-05  0.7499804E+02  0.6617445E-22  0.7326849E-21  0.5761020E-14 -0.1200000E+03  0.9205781E+01
  0.1450000E+00  0.1384836E-05  0.9548538E-05  0.7500188E+02 -0.9926167E-23  0.3650710E-20  0.2867223E-13 -0.1200000E+03  0.9205780E+01
  0.1475000E+00  0.1384665E-05  0.9532394E-05  0.7499804E+02  0.8271806E-22  0.7826586E-20  0.6175376E-13 -0.1200000E+03  0.9205780E+01
  0.1500000E+00  0.1432498E-05  0.9551070E-05  0.7500188E+02  0.2977850E-22 -0.1524660E-20 -0.1199937E-13 -0.1200000E+03  0.9205779E+01
