# problem=TPV104
# author=Surendra Nadh Somala
# Date = 01/13/2024; time = 12:20:09
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=1004 m  (w/ 5 GLL nodes)
# time_step=  0.2000000E-02
# location=faultst-045dp000
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress
#
  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.6000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.8000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1000000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1200000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1400000E-01  0.0000000E+00 -0.1775800E-31  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.8332679E-30 -0.1200000E+03
  0.1600000E-01 -0.7102925E-34 -0.7976861E-31  0.7000000E+02  0.2938736E-38 -0.7146622E-43  0.3513681E-29 -0.1200000E+03
  0.1800000E-01 -0.3190762E-33  0.3849700E-28  0.7000000E+02  0.4701977E-37 -0.6162976E-35  0.3395510E-26 -0.1200000E+03
  0.2000000E-01  0.1539172E-30  0.5790660E-27  0.7000000E+02 -0.1880791E-36  0.2311121E-35  0.4459891E-25 -0.1200000E+03
  0.2200000E-01  0.2315946E-29  0.4597417E-26  0.7000000E+02  0.0000000E+00 -0.2018375E-33  0.3167578E-24 -0.1200000E+03
  0.2400000E-01  0.1854359E-28  0.2570635E-25  0.7000000E+02  0.0000000E+00 -0.1577722E-32  0.1608356E-23 -0.1200000E+03
  0.2600000E-01  0.1051413E-27  0.1135855E-24  0.7000000E+02 -0.3009266E-35 -0.1540744E-32  0.6530131E-23 -0.1200000E+03
  0.2800000E-01  0.4728855E-27  0.4218440E-24  0.7000000E+02  0.0000000E+00 -0.4894636E-31  0.2250557E-22 -0.1200000E+03
  0.3000000E-01  0.1792517E-26  0.1367893E-23  0.7000000E+02 -0.7222237E-34 -0.1502780E-30  0.6830215E-22 -0.1200000E+03
  0.3200000E-01  0.5944459E-26  0.3972945E-23  0.7000000E+02 -0.5777790E-33 -0.1972152E-30  0.1870871E-21 -0.1200000E+03
  0.3400000E-01  0.1768430E-25  0.1052450E-22  0.7000000E+02 -0.7703720E-33  0.0000000E+00  0.4706714E-21 -0.1200000E+03
  0.3600000E-01  0.4804247E-25  0.2577074E-22  0.7000000E+02 -0.7703720E-33 -0.1615587E-29  0.1101777E-20 -0.1200000E+03
  0.3800000E-01  0.1207672E-24  0.5892453E-22  0.7000000E+02 -0.6162976E-32 -0.2366583E-29  0.2423787E-20 -0.1200000E+03
  0.4000000E-01  0.2837406E-24  0.1268003E-21  0.7000000E+02 -0.1232595E-31 -0.1119551E-28  0.5050337E-20 -0.1200000E+03
  0.4200000E-01  0.6279685E-24  0.2583863E-21  0.7000000E+02 -0.3697785E-31 -0.1262177E-28  0.1003008E-19 -0.1200000E+03
  0.4400000E-01  0.1317286E-23  0.5010025E-21  0.7000000E+02 -0.2465190E-31  0.0000000E+00  0.1908445E-19 -0.1200000E+03
  0.4600000E-01  0.2631978E-23  0.9278189E-21  0.7000000E+02  0.0000000E+00 -0.3907702E-28  0.3493813E-19 -0.1200000E+03
  0.4800000E-01  0.5028561E-23  0.1645789E-20  0.7000000E+02  0.0000000E+00 -0.5048710E-28  0.6176186E-19 -0.1200000E+03
  0.5000000E-01  0.9215134E-23  0.2801851E-20  0.7000000E+02  0.0000000E+00 -0.1538847E-27  0.1057456E-18 -0.1200000E+03
  0.5200000E-01  0.1623596E-22  0.4583414E-20  0.7000000E+02 -0.3944305E-30 -0.4564033E-28  0.1758149E-18 -0.1200000E+03
  0.5400000E-01  0.2754879E-22  0.7206530E-20  0.7000000E+02 -0.3944305E-30 -0.2116419E-27  0.2844955E-18 -0.1200000E+03
  0.5600000E-01  0.4506209E-22  0.1088167E-19  0.7000000E+02 -0.7888609E-30 -0.4038968E-27  0.4489169E-18 -0.1200000E+03
  0.5800000E-01  0.7107545E-22  0.1574258E-19  0.7000000E+02 -0.1577722E-29 -0.4038968E-27  0.6919305E-18 -0.1200000E+03
  0.6000000E-01  0.1080324E-21  0.2171864E-19  0.7000000E+02 -0.3155444E-29 -0.1654361E-26  0.1043291E-17 -0.1200000E+03
  0.6200000E-01  0.1579500E-21  0.2832517E-19  0.7000000E+02 -0.9466331E-29 -0.7690194E-27  0.1540820E-17 -0.1200000E+03
  0.6400000E-01  0.2213331E-21  0.3434073E-19  0.7000000E+02 -0.6310887E-29 -0.8853419E-27  0.2231437E-17 -0.1200000E+03
  0.6600000E-01  0.2953130E-21  0.3733544E-19  0.7000000E+02 -0.1893266E-28 -0.2345832E-26  0.3171880E-17 -0.1200000E+03
  0.6800000E-01  0.3706749E-21  0.3301130E-19  0.7000000E+02 -0.1262177E-28 -0.2578477E-26  0.4428898E-17 -0.1200000E+03
  0.7000000E-01  0.4273582E-21  0.1431643E-19  0.7000000E+02 -0.3155444E-28 -0.7270142E-26  0.6078593E-17 -0.1200000E+03
  0.7200000E-01  0.4279406E-21 -0.2969936E-19  0.7000000E+02 -0.3155444E-28  0.8077936E-27  0.8204525E-17 -0.1200000E+03
  0.7400000E-01  0.3085607E-21 -0.1153069E-18  0.7000000E+02 -0.3786532E-28 -0.1565827E-25  0.1089403E-16 -0.1200000E+03
  0.7600001E-01 -0.3328696E-22 -0.2657941E-18  0.7000000E+02 -0.6310887E-28 -0.1534808E-25  0.1423208E-16 -0.1200000E+03
  0.7800000E-01 -0.7546156E-21 -0.5133987E-18  0.7000000E+02 -0.8835242E-28 -0.1615587E-25  0.1829189E-16 -0.1200000E+03
  0.8000001E-01 -0.2086882E-20 -0.9013908E-18  0.7000000E+02 -0.8835242E-28 -0.1817536E-26  0.2312101E-16 -0.1200000E+03
  0.8200000E-01 -0.4360179E-20 -0.1486157E-17  0.7000000E+02 -0.3786532E-28 -0.7486632E-26  0.2872189E-16 -0.1200000E+03
  0.8400001E-01 -0.8031509E-20 -0.2339056E-17  0.7000000E+02 -0.6310887E-28 -0.1130911E-25  0.3502493E-16 -0.1200000E+03
  0.8600000E-01 -0.1371640E-19 -0.3547736E-17  0.7000000E+02 -0.4417621E-28 -0.4324604E-25  0.4185258E-16 -0.1200000E+03
  0.8800001E-01 -0.2222245E-19 -0.5216486E-17  0.7000000E+02 -0.3155444E-27 -0.2659902E-25  0.4887202E-16 -0.1200000E+03
  0.9000000E-01 -0.3458235E-19 -0.7465105E-17  0.7000000E+02 -0.2818206E-27 -0.3678369E-25  0.5553442E-16 -0.1200000E+03
  0.9200001E-01 -0.5208287E-19 -0.1042565E-16  0.7000000E+02 -0.4354512E-27 -0.7431701E-25  0.6099814E-16 -0.1200000E+03
  0.9400000E-01 -0.7628496E-19 -0.1423640E-16  0.7000000E+02 -0.6689540E-27 -0.1367432E-25  0.6403407E-16 -0.1200000E+03
  0.9600000E-01 -0.1090285E-18 -0.1903219E-16  0.7000000E+02 -0.7068194E-27 -0.1050132E-25  0.6291105E-16 -0.1200000E+03
  0.9800000E-01 -0.1524137E-18 -0.2493042E-16  0.7000000E+02 -0.1047607E-26 -0.9202377E-26  0.5526048E-16 -0.1200000E+03
  0.1000000E+00 -0.2087502E-18 -0.3201206E-16  0.7000000E+02 -0.8109490E-27  0.1044315E-25  0.3792093E-16 -0.1200000E+03
  0.1020000E+00 -0.2804620E-18 -0.4029693E-16  0.7000000E+02 -0.9087678E-27 -0.5686865E-26  0.6764568E-17 -0.1200000E+03
  0.1040000E+00 -0.3699379E-18 -0.4971318E-16  0.7000000E+02 -0.1009742E-26  0.5293956E-25 -0.4348888E-16 -0.1200000E+03
  0.1060000E+00 -0.4793147E-18 -0.6006093E-16  0.7000000E+02 -0.1009742E-26  0.5169879E-25 -0.1194625E-15 -0.1200000E+03
  0.1080000E+00 -0.6101817E-18 -0.7097067E-16  0.7000000E+02 -0.1211690E-26  0.5666188E-25 -0.2293031E-15 -0.1200000E+03
  0.1100000E+00 -0.7631974E-18 -0.8185785E-16  0.7000000E+02 -0.1615587E-26  0.3201189E-24 -0.3828363E-15 -0.1200000E+03
  0.1120000E+00 -0.9376131E-18 -0.9187561E-16  0.7000000E+02 -0.8077936E-27  0.5169879E-24 -0.5916684E-15 -0.1200000E+03
  0.1140000E+00 -0.1130700E-17 -0.9986900E-16  0.7000000E+02 -0.1615587E-26  0.3300451E-24 -0.8692091E-15 -0.1200000E+03
  0.1160000E+00 -0.1337089E-17 -0.1043345E-15  0.7000000E+02  0.0000000E+00  0.6203855E-24 -0.1230572E-14 -0.1200000E+03
  0.1180000E+00 -0.1548038E-17 -0.1033904E-15  0.7000000E+02  0.0000000E+00  0.1487271E-23 -0.1692318E-14 -0.1200000E+03
  0.1200000E+00 -0.1750651E-17 -0.9476436E-16  0.7000000E+02  0.6462349E-26  0.3101927E-23 -0.2271980E-14 -0.1200000E+03
  0.1220000E+00 -0.1927095E-17 -0.7580517E-16  0.7000000E+02  0.0000000E+00  0.9065901E-24 -0.2987335E-14 -0.1200000E+03
  0.1240000E+00 -0.2053871E-17 -0.4352754E-16  0.7000000E+02  0.3231174E-26  0.1654361E-23 -0.3855344E-14 -0.1200000E+03
  0.1260000E+00 -0.2101205E-17  0.5302334E-17  0.7000000E+02 -0.3231174E-26  0.3467541E-23 -0.4890743E-14 -0.1200000E+03
  0.1280000E+00 -0.2032662E-17  0.7403125E-16  0.7000000E+02  0.1938705E-25  0.6458626E-23 -0.6104200E-14 -0.1200000E+03
  0.1300000E+00 -0.1805081E-17  0.1659261E-15  0.7000000E+02  0.1292470E-25  0.9416625E-23 -0.7500052E-14 -0.1200000E+03
  0.1320000E+00 -0.1368958E-17  0.2839173E-15  0.7000000E+02  0.6462349E-25  0.1126289E-22 -0.9073562E-14 -0.1200000E+03
  0.1340000E+00 -0.6694112E-18  0.4302740E-15  0.7000000E+02  0.6462349E-25  0.1613747E-22 -0.1080777E-13 -0.1200000E+03
  0.1360000E+00  0.3521386E-18  0.6062117E-15  0.7000000E+02  0.1098599E-24 -0.3530408E-23 -0.1266992E-13 -0.1200000E+03
  0.1380000E+00  0.1755436E-17  0.8114354E-15  0.7000000E+02  0.3877409E-25 -0.8877301E-23 -0.1460764E-13 -0.1200000E+03
  0.1400000E+00  0.3597880E-17  0.1043628E-14  0.7000000E+02  0.6139231E-25  0.1406207E-22 -0.1654492E-13 -0.1200000E+03
  0.1420000E+00  0.5929949E-17  0.1297904E-14  0.7000000E+02  0.1308626E-24  0.8463711E-23 -0.1837823E-13 -0.1200000E+03
  0.1440000E+00  0.8789495E-17  0.1566243E-14  0.7000000E+02  0.1147067E-24  0.1883325E-22 -0.1997288E-13 -0.1200000E+03
  0.1460000E+00  0.1219492E-16  0.1836951E-14  0.7000000E+02  0.1227846E-24  0.4963084E-23 -0.2116012E-13 -0.1200000E+03
  0.1480000E+00  0.1613730E-16  0.2094179E-14  0.7000000E+02  0.1421717E-24  0.9926167E-23 -0.2173525E-13 -0.1200000E+03
  0.1500000E+00  0.2057164E-16  0.2317550E-14  0.7000000E+02  0.1421717E-24  0.3308722E-23 -0.2145729E-13 -0.1200000E+03
  0.1520000E+00  0.2540750E-16  0.2481959E-14  0.7000000E+02  0.1292470E-24  0.1717889E-22 -0.2005063E-13 -0.1200000E+03
  0.1540000E+00  0.3049948E-16  0.2557609E-14  0.7000000E+02  0.2843433E-24  0.1858178E-22 -0.1720921E-13 -0.1200000E+03
  0.1560000E+00  0.3563794E-16  0.2510343E-14  0.7000000E+02  0.2067952E-24  0.2144052E-22 -0.1260392E-13 -0.1200000E+03
  0.1580000E+00  0.4054085E-16  0.2302360E-14  0.7000000E+02  0.3101927E-24  0.1148788E-22 -0.5893349E-14 -0.1200000E+03
  0.1600000E+00  0.4484738E-16  0.1893362E-14  0.7000000E+02  0.2067952E-24  0.1747009E-23  0.3261178E-14 -0.1200000E+03
  0.1620000E+00  0.4811430E-16  0.1242211E-14  0.7000000E+02  0.3101927E-24 -0.8523273E-23  0.1517647E-13 -0.1200000E+03
  0.1640000E+00  0.4981622E-16  0.3091273E-15  0.7000000E+02  0.2067952E-24 -0.4505156E-22  0.3012355E-13 -0.1200000E+03
  0.1660000E+00  0.4935081E-16 -0.9415320E-15  0.7000000E+02  0.2067952E-24 -0.6209811E-22  0.4829955E-13 -0.1200000E+03
  0.1680000E+00  0.4605009E-16 -0.2537918E-14  0.7000000E+02 -0.1033976E-24 -0.4378101E-22  0.6979515E-13 -0.1200000E+03
