# problem=TPV104
# author=Surendra Nadh Somala
# Date = 01/13/2024; time = 12:20:09
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=1004 m  (w/ 5 GLL nodes)
# time_step=  0.2000000E-02
# location=faultst045dp000
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress
#
  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.6000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.8000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1000000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1200000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1400000E-01  0.0000000E+00  0.5345410E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.2925025E-31 -0.1200000E+03
  0.1600000E-01  0.2137636E-34  0.2462769E-30  0.7000000E+02 -0.2938736E-38 -0.1203699E-37 -0.3828431E-28 -0.1200000E+03
  0.1800000E-01  0.9850643E-33  0.4075530E-28  0.7000000E+02  0.4701977E-37 -0.5777802E-36 -0.3794151E-26 -0.1200000E+03
  0.2000000E-01  0.1630424E-30  0.5892340E-27  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.4684791E-25 -0.1200000E+03
  0.2200000E-01  0.2357922E-29  0.4629773E-26  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.3253763E-24 -0.1200000E+03
  0.2400000E-01  0.1868214E-28  0.2577610E-25  0.7000000E+02  0.0000000E+00 -0.1577722E-32 -0.1633090E-23 -0.1200000E+03
  0.2600000E-01  0.1054623E-27  0.1136418E-24  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.6583744E-23 -0.1200000E+03
  0.2800000E-01  0.4732493E-27  0.4215068E-24  0.7000000E+02  0.0000000E+00 -0.2524355E-31 -0.2258229E-22 -0.1200000E+03
  0.3000000E-01  0.1791489E-26  0.1365673E-23  0.7000000E+02  0.1925930E-33  0.4930381E-31 -0.6830035E-22 -0.1200000E+03
  0.3200000E-01  0.5935942E-26  0.3964289E-23  0.7000000E+02  0.1155558E-32 -0.1080740E-30 -0.1866007E-21 -0.1200000E+03
  0.3400000E-01  0.1764865E-25  0.1049746E-22  0.7000000E+02  0.7703720E-33  0.3944305E-30 -0.4685076E-21 -0.1200000E+03
  0.3600000E-01  0.4792580E-25  0.2569725E-22  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1094960E-20 -0.1200000E+03
  0.3800000E-01  0.1204376E-24  0.5874424E-22  0.7000000E+02  0.0000000E+00 -0.1653453E-29 -0.2405661E-20 -0.1200000E+03
  0.4000000E-01  0.2829028E-24  0.1263928E-21  0.7000000E+02  0.0000000E+00  0.3306905E-29 -0.5007194E-20 -0.1200000E+03
  0.4200000E-01  0.6260089E-24  0.2575265E-21  0.7000000E+02  0.2465190E-31 -0.3029232E-30 -0.9935500E-20 -0.1200000E+03
  0.4400000E-01  0.1313009E-23  0.4992944E-21  0.7000000E+02 -0.4930381E-31 -0.1201593E-28 -0.1889033E-19 -0.1200000E+03
  0.4600000E-01  0.2623187E-23  0.9246045E-21  0.7000000E+02  0.4930381E-31 -0.1211693E-29 -0.3456097E-19 -0.1200000E+03
  0.4800000E-01  0.5011427E-23  0.1640034E-20  0.7000000E+02  0.0000000E+00  0.5291048E-28 -0.6106301E-19 -0.1200000E+03
  0.5000000E-01  0.9183322E-23  0.2792022E-20  0.7000000E+02  0.7888609E-30 -0.7270157E-29 -0.1045035E-18 -0.1200000E+03
  0.5200000E-01  0.1617952E-22  0.4567383E-20  0.7000000E+02  0.3944305E-30  0.1106677E-27 -0.1736885E-18 -0.1200000E+03
  0.5400000E-01  0.2745285E-22  0.7181564E-20  0.7000000E+02  0.1972152E-29 -0.1938708E-28 -0.2809771E-18 -0.1200000E+03
  0.5600000E-01  0.4490577E-22  0.1084463E-19  0.7000000E+02  0.2366583E-29  0.0000000E+00 -0.4432754E-18 -0.1200000E+03
  0.5800000E-01  0.7083137E-22  0.1569050E-19  0.7000000E+02  0.3944305E-29 -0.4232839E-27 -0.6831464E-18 -0.1200000E+03
  0.6000000E-01  0.1076678E-21  0.2164996E-19  0.7000000E+02  0.0000000E+00  0.4426710E-27 -0.1029987E-17 -0.1200000E+03
  0.6200000E-01  0.1574312E-21  0.2824197E-19  0.7000000E+02  0.3155444E-29 -0.8465677E-27 -0.1521196E-17 -0.1200000E+03
  0.6400000E-01  0.2206357E-21  0.3425258E-19  0.7000000E+02  0.6310887E-29 -0.1693135E-26 -0.2203219E-17 -0.1200000E+03
  0.6600000E-01  0.2944415E-21  0.3726530E-19  0.7000000E+02 -0.3155444E-29  0.7754834E-28 -0.3132307E-17 -0.1200000E+03
  0.6800000E-01  0.3696969E-21  0.3300455E-19  0.7000000E+02  0.1262177E-28 -0.1770684E-26 -0.4374756E-17 -0.1200000E+03
  0.7000000E-01  0.4264597E-21  0.1445375E-19  0.7000000E+02  0.1262177E-28 -0.1615587E-26 -0.6006347E-17 -0.1200000E+03
  0.7200000E-01  0.4275119E-21 -0.2928420E-19  0.7000000E+02  0.2524355E-28  0.3231174E-26 -0.8110572E-17 -0.1200000E+03
  0.7400000E-01  0.3093229E-21 -0.1144033E-18  0.7000000E+02  0.5048710E-28 -0.8698322E-26 -0.1077511E-16 -0.1200000E+03
  0.7600001E-01 -0.3010129E-22 -0.2640840E-18  0.7000000E+02  0.1262177E-28  0.1870204E-25 -0.1408595E-16 -0.1200000E+03
  0.7800000E-01 -0.7470132E-21 -0.5104188E-18  0.7000000E+02  0.1262177E-27 -0.2286379E-25 -0.1811819E-16 -0.1200000E+03
  0.8000001E-01 -0.2071776E-20 -0.8964871E-18  0.7000000E+02  0.3786532E-28 -0.1553548E-25 -0.2292257E-16 -0.1200000E+03
  0.8200000E-01 -0.4332961E-20 -0.1478432E-17  0.7000000E+02  0.7573065E-28 -0.7082735E-26 -0.2850627E-16 -0.1200000E+03
  0.8400001E-01 -0.7985506E-20 -0.2327314E-17  0.7000000E+02  0.2524355E-28  0.3738954E-25 -0.3480654E-16 -0.1200000E+03
  0.8600000E-01 -0.1364222E-19 -0.3530425E-17  0.7000000E+02  0.3660315E-27  0.1566473E-25 -0.4165506E-16 -0.1200000E+03
  0.8800001E-01 -0.2210721E-19 -0.5191645E-17  0.7000000E+02  0.1135960E-27  0.3118730E-25 -0.4873126E-16 -0.1200000E+03
  0.9000000E-01 -0.3440880E-19 -0.7430319E-17  0.7000000E+02  0.4796274E-27 -0.3242808E-25 -0.5550166E-16 -0.1200000E+03
  0.9200001E-01 -0.5182849E-19 -0.1037805E-16  0.7000000E+02  0.1230623E-27 -0.7506664E-25 -0.6114374E-16 -0.1200000E+03
  0.9400000E-01 -0.7592099E-19 -0.1417265E-16  0.7000000E+02  0.9466331E-28 -0.1292470E-25 -0.6445105E-16 -0.1200000E+03
  0.9600000E-01 -0.1085191E-18 -0.1894860E-16  0.7000000E+02  0.4038968E-27 -0.5666188E-25 -0.6371874E-16 -0.1200000E+03
  0.9800000E-01 -0.1517154E-18 -0.2482309E-16  0.7000000E+02  0.1514613E-27 -0.2336785E-25 -0.5660785E-16 -0.1200000E+03
  0.1000000E+00 -0.2078115E-18 -0.3187708E-16  0.7000000E+02  0.3029226E-27 -0.2833094E-25 -0.3998884E-16 -0.1200000E+03
  0.1020000E+00 -0.2792237E-18 -0.4013079E-16  0.7000000E+02  0.2524355E-27  0.1240773E-26 -0.9767139E-17 -0.1200000E+03
  0.1040000E+00 -0.3683346E-18 -0.4951325E-16  0.7000000E+02  0.3534097E-27 -0.1416547E-25  0.3930500E-16 -0.1200000E+03
  0.1060000E+00 -0.4772768E-18 -0.5982610E-16  0.7000000E+02  0.2019484E-27 -0.7270142E-25  0.1138209E-15 -0.1200000E+03
  0.1080000E+00 -0.6076391E-18 -0.7070218E-16  0.7000000E+02  0.1009742E-27  0.1600595E-24  0.2219044E-15 -0.1200000E+03
  0.1100000E+00 -0.7600855E-18 -0.8156027E-16  0.7000000E+02  0.6815758E-27 -0.1391732E-24  0.3733673E-15 -0.1200000E+03
  0.1120000E+00 -0.9338802E-18 -0.9155805E-16  0.7000000E+02  0.1009742E-27 -0.2843433E-24  0.5798172E-15 -0.1200000E+03
  0.1140000E+00 -0.1126318E-17 -0.9954633E-16  0.7000000E+02 -0.4038968E-27  0.5885390E-24  0.8546845E-15 -0.1200000E+03
  0.1160000E+00 -0.1332066E-17 -0.1040288E-15  0.7000000E+02 -0.1615587E-26 -0.5686867E-24  0.1213130E-14 -0.1200000E+03
  0.1180000E+00 -0.1542433E-17 -0.1031322E-15  0.7000000E+02 -0.2019484E-26 -0.1797464E-23  0.1671791E-14 -0.1200000E+03
  0.1200000E+00 -0.1744594E-17 -0.9459410E-16  0.7000000E+02 -0.5654555E-26  0.1423578E-23  0.2248319E-14 -0.1200000E+03
  0.1220000E+00 -0.1920809E-17 -0.7577422E-16  0.7000000E+02 -0.4038968E-26  0.4111915E-23  0.2960646E-14 -0.1200000E+03
  0.1240000E+00 -0.2047691E-17 -0.4369881E-16  0.7000000E+02 -0.9693523E-26 -0.2481542E-23  0.3825947E-14 -0.1200000E+03
  0.1260000E+00 -0.2095605E-17  0.4854299E-17  0.7000000E+02 -0.1777146E-25 -0.4135903E-23  0.4859214E-14 -0.1200000E+03
  0.1280000E+00 -0.2028274E-17  0.7322104E-16  0.7000000E+02 -0.5008320E-25  0.4612360E-23  0.6071435E-14 -0.1200000E+03
  0.1300000E+00 -0.1802720E-17  0.1646593E-15  0.7000000E+02 -0.1615587E-25  0.1059453E-22  0.7467318E-14 -0.1200000E+03
  0.1320000E+00 -0.1369637E-17  0.2820935E-15  0.7000000E+02 -0.3231174E-25  0.6107902E-23  0.9042550E-14 -0.1200000E+03
  0.1340000E+00 -0.6743462E-18  0.4277918E-15  0.7000000E+02  0.2584939E-25  0.1622597E-22  0.1078064E-13 -0.1200000E+03
  0.1360000E+00  0.3415304E-18  0.6029749E-15  0.7000000E+02 -0.4523644E-25  0.5088817E-23  0.1264932E-13 -0.1200000E+03
  0.1380000E+00  0.1737553E-17  0.8073616E-15  0.7000000E+02  0.3231174E-26  0.1105610E-22  0.1459674E-13 -0.1200000E+03
  0.1400000E+00  0.3570977E-17  0.1038659E-14  0.7000000E+02 -0.9693523E-26  0.2069441E-22  0.1654738E-13 -0.1200000E+03
  0.1420000E+00  0.5892191E-17  0.1292018E-14  0.7000000E+02  0.6785466E-25 -0.1657339E-22  0.1839818E-13 -0.1200000E+03
  0.1440000E+00  0.8739049E-17  0.1559469E-14  0.7000000E+02 -0.9370405E-25  0.1492238E-23  0.2001481E-13 -0.1200000E+03
  0.1460000E+00  0.1213007E-16  0.1829386E-14  0.7000000E+02  0.1454028E-25  0.3838092E-24  0.2122879E-13 -0.1200000E+03
  0.1480000E+00  0.1605659E-16  0.2086000E-14  0.7000000E+02 -0.1454028E-24  0.1905828E-23  0.2183549E-13 -0.1200000E+03
  0.1500000E+00  0.2047407E-16  0.2309033E-14  0.7000000E+02 -0.4200527E-25  0.2418014E-22  0.2159379E-13 -0.1200000E+03
  0.1520000E+00  0.2529272E-16  0.2473495E-14  0.7000000E+02 -0.1163223E-24 -0.7636530E-23  0.2022762E-13 -0.1200000E+03
  0.1540000E+00  0.3036805E-16  0.2549715E-14  0.7000000E+02 -0.1163223E-24 -0.1654361E-23  0.1743017E-13 -0.1200000E+03
  0.1560000E+00  0.3549159E-16  0.2503673E-14  0.7000000E+02 -0.1809458E-24 -0.9608529E-23  0.1287108E-13 -0.1200000E+03
  0.1580000E+00  0.4038274E-16  0.2297704E-14  0.7000000E+02 -0.1809458E-24 -0.3626360E-23  0.6207311E-14 -0.1200000E+03
  0.1600000E+00  0.4468240E-16  0.1891644E-14  0.7000000E+02 -0.2326445E-24 -0.2832265E-23 -0.2902024E-14 -0.1200000E+03
  0.1620000E+00  0.4794931E-16  0.1244471E-14  0.7000000E+02 -0.2067952E-24 -0.1056144E-22 -0.1477639E-13 -0.1200000E+03
  0.1640000E+00  0.4966028E-16  0.3164963E-15  0.7000000E+02 -0.2067952E-24  0.1056144E-22 -0.2969014E-13 -0.1200000E+03
  0.1660000E+00  0.4921530E-16 -0.9278724E-15  0.7000000E+02 -0.1033976E-24  0.2038170E-23 -0.4784417E-13 -0.1200000E+03
  0.1680000E+00  0.4594879E-16 -0.2516793E-14  0.7000000E+02  0.0000000E+00 -0.7864172E-22 -0.6933352E-13 -0.1200000E+03
  0.1700000E+00  0.3914813E-16 -0.4467106E-14  0.7000000E+02 -0.5169879E-25 -0.2316106E-22 -0.9411138E-13 -0.1200000E+03
