 # problem=TPV104
 # author=Surendra Nadh Somala
 # Date = 09/23/2020; time = 16:16:51
 # code=SPECFEM3D_Cartesian (split nodes)
 # code_version=1.1
 # element_size=100 m  (*5 GLL nodes)
 # time_step=   2.00000009E-03
 # location=faultst045dp075
 # Column #1 = Time (s)
 # Column #2 = horizontal right-lateral slip (m)
 # Column #3 = horizontal right-lateral slip rate (m/s)
 # Column #4 = horizontal right-lateral shear stress (MPa)
 # Column #5 = vertical up-dip slip (m)
 # Column #6 = vertical up-dip slip rate (m/s)
 # Column #7 = vertical up-dip shear stress (MPa)
 # Column #8 = normal stress (MPa)
 #
 # The line below lists the names of the data fields:
                                                                                                                                                                                # t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress
 #
  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.6000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.8000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1000000E-01  0.0000000E+00  0.1299062E-14  0.7000000E+02  0.0000000E+00 -0.4038968E-30 -0.2627358E-21 -0.1200000E+03
  0.1200000E-01  0.5196248E-17  0.1187839E-13  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.1448111E-19 -0.1200000E+03
  0.1400000E-01  0.4751358E-16  0.3445489E-13  0.7000000E+02 -0.9860761E-31  0.6058464E-30 -0.4135868E-20 -0.1200000E+03
  0.1600000E-01  0.1430158E-15  0.8996666E-13  0.7000000E+02 -0.9860761E-31  0.5048710E-28  0.9890641E-19 -0.1200000E+03
  0.1800000E-01  0.4073802E-15  0.2054090E-12  0.7000000E+02  0.7888609E-30  0.1033976E-27  0.7831257E-19 -0.1200000E+03
  0.2000000E-01  0.9646519E-15  0.4464600E-12  0.7000000E+02  0.3155444E-29  0.4135903E-27  0.2882692E-18 -0.1200000E+03
  0.2200000E-01  0.2193220E-14  0.9202983E-12  0.7000000E+02  0.0000000E+00 -0.3748162E-27 -0.3437731E-18 -0.1200000E+03
  0.2400000E-01  0.4645845E-14  0.1779498E-11  0.7000000E+02  0.0000000E+00 -0.1731909E-26 -0.1497336E-17 -0.1200000E+03
  0.2600000E-01  0.9311211E-14  0.3247177E-11  0.7000000E+02  0.0000000E+00 -0.6720841E-27 -0.5608171E-18 -0.1200000E+03
  0.2800000E-01  0.1763455E-13  0.5639681E-11  0.7000000E+02  0.0000000E+00  0.1033978E-27  0.1714720E-18 -0.1200000E+03
  0.3000000E-01  0.3186994E-13  0.9338847E-11  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.6316873E-17 -0.1200000E+03
  0.3200000E-01  0.5498994E-13  0.1477954E-10  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.5118820E-17 -0.1200000E+03
  0.3400000E-01  0.9098812E-13  0.2239355E-10  0.7000000E+02  0.0000000E+00 -0.3308723E-26 -0.2413216E-17 -0.1200000E+03
  0.3600000E-01  0.1445641E-12  0.3253258E-10  0.7000000E+02  0.2019484E-27 -0.1240773E-26 -0.6125176E-17 -0.1200000E+03
  0.3800000E-01  0.2211184E-12  0.4541804E-10  0.7000000E+02  0.2019484E-27 -0.2584939E-25 -0.2392295E-16 -0.1200000E+03
  0.4000000E-01  0.3262363E-12  0.6092091E-10  0.7000000E+02  0.2524355E-27  0.0000000E+00 -0.3834609E-16 -0.1200000E+03
  0.4200000E-01  0.4648021E-12  0.7835409E-10  0.7000000E+02  0.4038968E-27  0.2646978E-25  0.2326911E-16 -0.1200000E+03
  0.4400000E-01  0.6396527E-12  0.9628050E-10  0.7000000E+02  0.0000000E+00  0.1058791E-24  0.9443421E-16 -0.1200000E+03
  0.4600000E-01  0.8499241E-12  0.1984622E-09  0.7000000E+02  0.0000000E+00  0.2646978E-25  0.1905118E-16 -0.1200000E+03
  0.4800000E-01  0.1433502E-11  0.3370004E-09  0.7000000E+02  0.0000000E+00  0.1058791E-24  0.8768212E-16 -0.1200000E+03
  0.5000000E-01  0.2197926E-11  0.4956159E-09  0.7000000E+02  0.0000000E+00  0.3308723E-26  0.3502983E-17 -0.1200000E+03
  0.5200000E-01  0.3415965E-11  0.6536780E-09  0.7000000E+02  0.0000000E+00 -0.2522901E-25 -0.1587757E-16 -0.1200000E+03
  0.5400000E-01  0.4812638E-11  0.8716353E-09  0.7000000E+02  0.0000000E+00 -0.9926187E-26 -0.7874326E-16 -0.1200000E+03
  0.5600000E-01  0.6902506E-11  0.1076764E-08  0.7000000E+02 -0.4038968E-27  0.0000000E+00  0.9923991E-16 -0.1200000E+03
  0.5800000E-01  0.9119694E-11  0.1311533E-08  0.7000000E+02 -0.3231174E-26 -0.1323482E-25 -0.5291670E-16 -0.1200000E+03
  0.6000000E-01  0.1214864E-10  0.1570342E-08  0.7000000E+02  0.0000000E+00 -0.3970475E-25 -0.3888667E-15 -0.1200000E+03
  0.6200000E-01  0.1540106E-10  0.1833226E-08  0.7000000E+02  0.0000000E+00 -0.7676236E-24 -0.7208098E-15 -0.1200000E+03
  0.6400000E-01  0.1948154E-10  0.2065106E-08  0.7000000E+02  0.0000000E+00 -0.1694066E-23 -0.1217104E-14 -0.1200000E+03
  0.6600000E-01  0.2366149E-10  0.2215852E-08  0.7000000E+02  0.0000000E+00 -0.4235165E-24 -0.3773527E-15 -0.1200000E+03
  0.6800000E-01  0.2834495E-10  0.2307319E-08  0.7000000E+02  0.0000000E+00 -0.4235165E-24 -0.3796767E-15 -0.1200000E+03
  0.7000000E-01  0.3289077E-10  0.2218402E-08  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.3236168E-16 -0.1200000E+03
  0.7200000E-01  0.3721856E-10  0.1936467E-08  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.4642150E-16 -0.1200000E+03
  0.7400000E-01  0.4063663E-10  0.1396614E-08  0.7000000E+02  0.0000000E+00  0.2117582E-24  0.1353618E-15 -0.1200000E+03
  0.7600001E-01  0.4280501E-10  0.6040500E-09  0.7000000E+02  0.0000000E+00  0.8470330E-24  0.5810658E-15 -0.1200000E+03
  0.7800000E-01  0.4305283E-10 -0.5773070E-09  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.1065328E-14 -0.1200000E+03
  0.8000001E-01  0.4049579E-10 -0.2171477E-08  0.7000000E+02  0.0000000E+00  0.1694066E-23  0.1402555E-14 -0.1200000E+03
  0.8200000E-01  0.3436693E-10 -0.4250801E-08  0.7000000E+02  0.0000000E+00  0.1694066E-23  0.1317627E-14 -0.1200000E+03
  0.8400001E-01  0.2349258E-10 -0.6895641E-08  0.7000000E+02  0.0000000E+00  0.1694066E-23  0.1574483E-14 -0.1200000E+03
  0.8600000E-01  0.6784357E-11 -0.1018995E-07  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.1223130E-14 -0.1200000E+03
  0.8800001E-01 -0.1726723E-10 -0.1412750E-07  0.7000000E+02  0.0000000E+00  0.1694066E-23  0.1437412E-14 -0.1200000E+03
  0.9000000E-01 -0.4972565E-10 -0.1873473E-07  0.7000000E+02  0.0000000E+00  0.1694066E-23  0.1330550E-14 -0.1200000E+03
  0.9200001E-01 -0.9220616E-10 -0.2411555E-07  0.7000000E+02  0.0000000E+00  0.1694066E-23  0.1560054E-14 -0.1200000E+03
  0.9400000E-01 -0.1461878E-09 -0.3022955E-07  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.2048661E-14 -0.1200000E+03
  0.9600000E-01 -0.2131244E-09 -0.3704815E-07  0.7000000E+02  0.0000000E+00  0.1694066E-23  0.1041249E-14 -0.1200000E+03
  0.9800000E-01 -0.2943805E-09 -0.4498196E-07  0.7000000E+02  0.0000000E+00  0.1694066E-23  0.1003114E-14 -0.1200000E+03
  0.1000000E+00 -0.3930523E-09 -0.5381014E-07  0.7000000E+02  0.0000000E+00  0.4235165E-24  0.2646455E-15 -0.1200000E+03
  0.1020000E+00 -0.5096211E-09  0.5651531E-07  0.6999999E+02  0.0000000E+00 -0.1058791E-24 -0.7441299E-16 -0.1200000E+03
  0.1040000E+00 -0.1669910E-09  0.4433753E-07  0.7000001E+02  0.0000000E+00  0.0000000E+00  0.1198446E-14 -0.1200000E+03
  0.1060000E+00 -0.3322710E-09  0.3016431E-07  0.6999999E+02  0.0000000E+00  0.3388132E-23  0.2456345E-14 -0.1200000E+03
  0.1080000E+00 -0.4633375E-10  0.1448448E-07  0.7000001E+02  0.0000000E+00  0.0000000E+00  0.4824505E-14 -0.1200000E+03
  0.1100000E+00 -0.2743331E-09 -0.2272508E-08  0.6999999E+02  0.0000000E+00  0.1355253E-22  0.8161232E-14 -0.1200000E+03
  0.1120000E+00 -0.5542376E-10 -0.2061025E-07  0.7000001E+02  0.0000000E+00  0.1355253E-22  0.1458030E-13 -0.1200000E+03
  0.1140000E+00 -0.3567742E-09 -0.3953680E-07  0.6999999E+02  0.0000000E+00  0.2710506E-22  0.2405348E-13 -0.1200000E+03
  0.1160000E+00 -0.2135709E-09 -0.5898395E-07  0.7000001E+02  0.0000000E+00  0.5421011E-22  0.3304442E-13 -0.1200000E+03
  0.1180000E+00 -0.5927100E-09  0.4128688E-07  0.6999998E+02  0.0000000E+00  0.4404570E-22  0.4224218E-13 -0.1200000E+03
  0.1200000E+00 -0.4842328E-10  0.2052124E-07  0.7000002E+02  0.0000000E+00  0.1016442E-22  0.5293567E-13 -0.1200000E+03
  0.1220000E+00 -0.5106252E-09 -0.2256826E-09  0.6999998E+02  0.0000000E+00  0.4404570E-22  0.5757813E-13 -0.1200000E+03
  0.1240000E+00 -0.4932588E-10 -0.1993020E-07  0.7000002E+02  0.0000000E+00  0.1016442E-22  0.6738943E-13 -0.1200000E+03
  0.1260000E+00 -0.5903461E-09 -0.3815295E-07  0.6999998E+02  0.0000000E+00 -0.1016442E-22  0.7569994E-13 -0.1200000E+03
  0.1280000E+00 -0.2019375E-09 -0.5421943E-07  0.7000002E+02 -0.0000000E+00  0.1016442E-22  0.7993661E-13 -0.1200000E+03
  0.1300000E+00 -0.8072238E-09  0.5282629E-07  0.6999998E+02  0.3308722E-23  0.9825582E-22  0.8521017E-13 -0.1200000E+03
  0.1320000E+00  0.9367590E-11  0.4168555E-07  0.7000002E+02  0.3308722E-23  0.1236668E-21  0.7908959E-13 -0.1200000E+03
  0.1340000E+00 -0.6404816E-09  0.3361561E-07  0.6999998E+02  0.6617445E-23  0.1511954E-21  0.7234836E-13 -0.1200000E+03
  0.1360000E+00  0.1438302E-09  0.2969540E-07  0.7000002E+02  0.6617445E-23  0.1397609E-22  0.5167794E-13 -0.1200000E+03
  0.1380000E+00 -0.5217000E-09  0.3028825E-07  0.6999998E+02  0.9926167E-23  0.1439953E-22  0.2942274E-13 -0.1200000E+03
  0.1400000E+00  0.2649833E-09  0.3626886E-07  0.7000002E+02  0.9926167E-23  0.5048710E-28  0.9460444E-15 -0.1200000E+03
  0.1420000E+00 -0.3766247E-09  0.4778241E-07  0.6999998E+02  0.1323489E-22 -0.1016442E-22 -0.3803301E-13 -0.1200000E+03
  0.1440000E+00  0.4561131E-09 -0.5440620E-07  0.7000003E+02  0.1158053E-22 -0.1016442E-22 -0.7881115E-13 -0.1200000E+03
  0.1460000E+00 -0.5942498E-09 -0.2825846E-07  0.6999997E+02  0.1075335E-22 -0.2168404E-21 -0.1390094E-12 -0.1200000E+03
  0.1480000E+00  0.3430797E-09  0.6166232E-08  0.7000003E+02  0.9926167E-23 -0.2168404E-21 -0.2107128E-12 -0.1200000E+03
  0.1500000E+00 -0.5695850E-09  0.4849724E-07  0.6999997E+02  0.6617445E-23 -0.4336809E-21 -0.2833981E-12 -0.1200000E+03
  0.1520000E+00  0.5370689E-09 -0.2150745E-07  0.7000004E+02  0.0000000E+00  0.4065766E-22 -0.3415880E-12 -0.1200000E+03
  0.1540000E+00 -0.6556149E-09  0.3831275E-07  0.6999996E+02 -0.0000000E+00 -0.4743386E-21 -0.3977045E-12 -0.1200000E+03
  0.1560000E+00  0.6903205E-09 -0.1355249E-07  0.7000005E+02  0.0000000E+00 -0.3930233E-21 -0.4691041E-12 -0.1200000E+03
  0.1580000E+00 -0.7098253E-09 -0.5604642E-07  0.6999996E+02 -0.0000000E+00 -0.8131533E-22 -0.5501874E-12 -0.1200000E+03
  0.1600000E+00  0.4661350E-09  0.3043272E-07  0.7000004E+02 -0.2646978E-22  0.8131533E-22 -0.5957002E-12 -0.1200000E+03
  0.1620000E+00 -0.5880947E-09  0.4836011E-08  0.6999997E+02 -0.2646978E-22 -0.8131533E-22 -0.6204723E-12 -0.1200000E+03
  0.1640000E+00  0.4854792E-09 -0.1316374E-07  0.7000004E+02 -0.2646978E-22 -0.8673618E-21 -0.6559542E-12 -0.1200000E+03
  0.1660000E+00 -0.6407497E-09 -0.2373019E-07  0.6999997E+02 -0.2646978E-22 -0.8673618E-21 -0.6261141E-12 -0.1200000E+03
  0.1680000E+00  0.3905586E-09 -0.2806001E-07  0.7000004E+02 -0.2646978E-22  0.4065766E-22 -0.6177736E-12 -0.1200000E+03
  0.1700000E+00 -0.7529902E-09 -0.2696487E-07  0.6999997E+02 -0.2646978E-22 -0.1351865E-20 -0.5829491E-12 -0.1200000E+03
