# problem=TPV104
# author=Surendra Nadh Somala
# Date = 03/03/2021; time = 11:01:37
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=4000 m  (w/ 5 GLL nodes)
# time_step=  0.2500000E-02
# location=faultst-120dp120
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
# Column #9 = log10 of state variable (log-seconds)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress log-theta
#
  0.2500000E-02  0.0000000E+00  0.9548066E-05  0.7499809E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03  0.9205810E+01
  0.5000000E-02  0.4774033E-07  0.9539482E-05  0.7500191E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03  0.9205810E+01
  0.7500000E-02  0.4769741E-07  0.9563731E-05  0.7499808E+02  0.0000000E+00 -0.5856503E-28 -0.4604199E-21 -0.1200000E+03  0.9205809E+01
  0.1000000E-01  0.9555897E-07  0.9540889E-05  0.7500192E+02 -0.2942821E-30  0.1487501E-25  0.1172915E-18 -0.1200000E+03  0.9205809E+01
  0.1250000E-01  0.9540185E-07  0.9550886E-05  0.7499807E+02  0.7494179E-28 -0.6331271E-21 -0.4968133E-14 -0.1200000E+03  0.9205808E+01
  0.1500000E-01  0.1433134E-06  0.9553763E-05  0.7500192E+02 -0.3179182E-23  0.7287308E-24  0.5739576E-17 -0.1200000E+03  0.9205808E+01
  0.1750000E-01  0.1431707E-06  0.9549532E-05  0.7499807E+02  0.3720268E-26  0.4748325E-21  0.3737327E-14 -0.1200000E+03  0.9205807E+01
  0.2000000E-01  0.1910611E-06  0.9538200E-05  0.7500192E+02 -0.7935467E-24 -0.1259114E-20 -0.9920423E-14 -0.1200000E+03  0.9205807E+01
  0.2250000E-01  0.1908617E-06  0.9559737E-05  0.7499806E+02 -0.6315762E-23  0.2926636E-23  0.2304025E-16 -0.1200000E+03  0.9205806E+01
  0.2500000E-01  0.2388597E-06  0.9534230E-05  0.7500193E+02 -0.7789276E-24 -0.2520180E-20 -0.1983714E-13 -0.1200000E+03  0.9205805E+01
  0.2750000E-01  0.2385328E-06  0.9541623E-05  0.7499805E+02 -0.1893091E-22  0.7182561E-21  0.5650586E-14 -0.1200000E+03  0.9205805E+01
  0.3000000E-01  0.2865679E-06  0.9541958E-05  0.7500193E+02  0.2814921E-23 -0.1250071E-20 -0.9855610E-14 -0.1200000E+03  0.9205804E+01
  0.3250000E-01  0.2862427E-06  0.9535261E-05  0.7499805E+02 -0.2521139E-22  0.1986240E-20  0.1562680E-13 -0.1200000E+03  0.9205804E+01
  0.3500000E-01  0.3342442E-06  0.9561496E-05  0.7500192E+02  0.1276743E-22  0.3654945E-20  0.2868869E-13 -0.1200000E+03  0.9205803E+01
  0.3750000E-01  0.3340501E-06  0.9540759E-05  0.7499806E+02 -0.6946217E-23 -0.1405646E-20 -0.1107027E-13 -0.1200000E+03  0.9205803E+01
  0.4000000E-01  0.3819480E-06  0.9552986E-05  0.7500191E+02  0.5726146E-23  0.1520712E-22  0.1199376E-15 -0.1200000E+03  0.9205802E+01
  0.4250000E-01  0.3818150E-06  0.9558235E-05  0.7499806E+02 -0.6870082E-23 -0.2514276E-20 -0.1974806E-13 -0.1200000E+03  0.9205802E+01
  0.4500000E-01  0.4297391E-06  0.9556522E-05  0.7500191E+02 -0.6844839E-23  0.1123904E-20  0.8844847E-14 -0.1200000E+03  0.9205801E+01
  0.4750000E-01  0.4295976E-06  0.9547873E-05  0.7499806E+02 -0.1229866E-23  0.3652103E-20  0.2873039E-13 -0.1200000E+03  0.9205801E+01
  0.5000000E-01  0.4774785E-06  0.9532316E-05  0.7500191E+02  0.1152883E-22  0.2126274E-22  0.1672174E-15 -0.1200000E+03  0.9205800E+01
  0.5250000E-01  0.4772592E-06  0.9549837E-05  0.7499805E+02 -0.1123237E-23  0.2374832E-22  0.1869729E-15 -0.1200000E+03  0.9205799E+01
  0.5500000E-01  0.5252276E-06  0.9560494E-05  0.7500191E+02  0.1164838E-22  0.3450628E-21  0.2708467E-14 -0.1200000E+03  0.9205799E+01
  0.5750000E-01  0.5250616E-06  0.9564304E-05  0.7499805E+02  0.6090763E-24  0.7883118E-20  0.6238233E-13 -0.1200000E+03  0.9205798E+01
  0.6000000E-01  0.5730491E-06  0.9561296E-05  0.7500191E+02  0.5113737E-22  0.3703734E-22  0.2905618E-15 -0.1200000E+03  0.9205798E+01
  0.6250000E-01  0.5728681E-06  0.9551499E-05  0.7499805E+02  0.8271806E-24 -0.2806592E-20 -0.2206094E-13 -0.1200000E+03  0.9205797E+01
  0.6500000E-01  0.6208066E-06  0.9534949E-05  0.7500191E+02  0.3711973E-22  0.7282101E-20  0.5747089E-13 -0.1200000E+03  0.9205797E+01
  0.6750000E-01  0.6205428E-06  0.9551646E-05  0.7499805E+02  0.3727483E-22  0.4116051E-22  0.3225883E-15 -0.1200000E+03  0.9205796E+01
  0.7000000E-01  0.6685648E-06  0.9561650E-05  0.7500191E+02  0.3732653E-22  0.4116051E-22  0.3238543E-15 -0.1200000E+03  0.9205796E+01
  0.7250000E-01  0.6683510E-06  0.9564988E-05  0.7499805E+02  0.3753332E-22  0.4076346E-22  0.3201841E-15 -0.1200000E+03  0.9205795E+01
  0.7500000E-01  0.7163898E-06  0.9561690E-05  0.7500191E+02  0.3753332E-22 -0.5021053E-20 -0.3943670E-13 -0.1200000E+03  0.9205795E+01
  0.7750000E-01  0.7161595E-06  0.9551801E-05  0.7499805E+02  0.1261450E-22  0.5093050E-20  0.4004423E-13 -0.1200000E+03  0.9205794E+01
  0.8000000E-01  0.7641488E-06  0.9535360E-05  0.7500191E+02  0.6307252E-22  0.3348466E-22  0.2631084E-15 -0.1200000E+03  0.9205793E+01
  0.8250000E-01  0.7638364E-06  0.9552370E-05  0.7499804E+02  0.1282130E-22  0.2342601E-22  0.1844894E-15 -0.1200000E+03  0.9205793E+01
  0.8500000E-01  0.8119107E-06  0.9562899E-05  0.7500191E+02  0.6327932E-22 -0.5048846E-20 -0.3964677E-13 -0.1200000E+03  0.9205792E+01
  0.8750000E-01  0.8116509E-06  0.9566982E-05  0.7499804E+02 -0.1261450E-22  0.6358046E-21  0.4987079E-14 -0.1200000E+03  0.9205792E+01
  0.9000000E-01  0.8597456E-06  0.9564656E-05  0.7500191E+02  0.6658804E-22  0.2199638E-20  0.1735970E-13 -0.1200000E+03  0.9205791E+01
  0.9250000E-01  0.8594741E-06  0.9555966E-05  0.7499804E+02 -0.1447566E-23 -0.5059964E-20 -0.3983663E-13 -0.1200000E+03  0.9205791E+01
  0.9500000E-01  0.9075254E-06  0.9540961E-05  0.7500191E+02  0.4135903E-22 -0.5064727E-20 -0.3986950E-13 -0.1200000E+03  0.9205791E+01
  0.9750000E-01  0.9071790E-06  0.9559649E-05  0.7499803E+02 -0.2646978E-22  0.5019729E-20  0.3960368E-13 -0.1200000E+03  0.9205791E+01
  0.9999999E-01  0.9553237E-06  0.9532152E-05  0.7500192E+02  0.6700163E-22 -0.2228754E-20 -0.1753978E-13 -0.1200000E+03  0.9205790E+01
  0.1025000E+00  0.9548397E-06  0.9538447E-05  0.7499802E+02 -0.3763672E-22  0.5022906E-20  0.3956013E-13 -0.1200000E+03  0.9205790E+01
  0.1050000E+00  0.1003016E-05  0.9538618E-05  0.7500192E+02  0.9181705E-22  0.5039317E-20  0.3956675E-13 -0.1200000E+03  0.9205789E+01
  0.1075000E+00  0.1002533E-05  0.9532714E-05  0.7499802E+02 -0.1199412E-22 -0.1289610E-20 -0.1013161E-13 -0.1200000E+03  0.9205788E+01
  0.1100000E+00  0.1050680E-05  0.9560739E-05  0.7500191E+02  0.8561319E-22 -0.1011304E-19 -0.7967349E-13 -0.1200000E+03  0.9205788E+01
  0.1125000E+00  0.1050337E-05  0.9542816E-05  0.7499803E+02 -0.6286573E-22 -0.5694179E-20 -0.4489478E-13 -0.1200000E+03  0.9205787E+01
  0.1150000E+00  0.1098394E-05  0.9558913E-05  0.7500191E+02  0.5748905E-22 -0.1077955E-19 -0.8459270E-13 -0.1200000E+03  0.9205787E+01
  0.1175000E+00  0.1098131E-05  0.9529168E-05  0.7499804E+02 -0.1166325E-21 -0.1517566E-19 -0.1193294E-12 -0.1200000E+03  0.9205786E+01
  0.1200000E+00  0.1146040E-05  0.9533561E-05  0.7500190E+02 -0.1819797E-22  0.5066316E-20  0.3978018E-13 -0.1200000E+03  0.9205786E+01
  0.1225000E+00  0.1145799E-05  0.9532188E-05  0.7499804E+02 -0.9016269E-22 -0.7236838E-20 -0.5704835E-13 -0.1200000E+03  0.9205785E+01
  0.1250000E+00  0.1193701E-05  0.9565052E-05  0.7500188E+02 -0.5376674E-22 -0.9437005E-20 -0.7433009E-13 -0.1200000E+03  0.9205785E+01
  0.1275000E+00  0.1193624E-05  0.9552280E-05  0.7499805E+02 -0.1373120E-21 -0.5023965E-20 -0.3947750E-13 -0.1200000E+03  0.9205784E+01
  0.1300000E+00  0.1241462E-05  0.9533891E-05  0.7500188E+02 -0.7858216E-22  0.1017816E-19  0.7990525E-13 -0.1200000E+03  0.9205784E+01
  0.1325000E+00  0.1241294E-05  0.9549908E-05  0.7499804E+02 -0.8685396E-22  0.1020357E-19  0.8000790E-13 -0.1200000E+03  0.9205783E+01
  0.1350000E+00  0.1289211E-05  0.9560422E-05  0.7500188E+02 -0.2812414E-22  0.1016334E-19  0.8006260E-13 -0.1200000E+03  0.9205782E+01
  0.1375000E+00  0.1289096E-05  0.9565483E-05  0.7499804E+02 -0.3474159E-22  0.7385071E-22  0.5824396E-15 -0.1200000E+03  0.9205782E+01
  0.1400000E+00  0.1337039E-05  0.9565145E-05  0.7500188E+02 -0.2481542E-22  0.1021628E-19  0.8012576E-13 -0.1200000E+03  0.9205781E+01
  0.1425000E+00  0.1336922E-05  0.9559472E-05  0.7499804E+02  0.1985233E-22 -0.2775091E-20 -0.2177824E-13 -0.1200000E+03  0.9205781E+01
  0.1450000E+00  0.1384836E-05  0.9548527E-05  0.7500188E+02 -0.3805031E-22  0.7330009E-20  0.5771811E-13 -0.1200000E+03  0.9205780E+01
  0.1475000E+00  0.1384664E-05  0.9532381E-05  0.7499804E+02  0.5624828E-22  0.5798471E-20  0.4552632E-13 -0.1200000E+03  0.9205780E+01
  0.1500000E+00  0.1432498E-05  0.9551058E-05  0.7500188E+02 -0.6617445E-23 -0.7160605E-20 -0.5637409E-13 -0.1200000E+03  0.9205779E+01
