# problem=TPV104
# author=Surendra Nadh Somala
# Date = 03/03/2021; time = 11:01:37
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=4000 m  (w/ 5 GLL nodes)
# time_step=  0.2500000E-02
# location=faultst000dp030
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
# Column #9 = log10 of state variable (log-seconds)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress log-theta
#
  0.2500000E-02  0.0000000E+00  0.9548066E-05  0.7499809E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03  0.9205810E+01
  0.5000000E-02  0.4774033E-07  0.9539482E-05  0.7500191E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03  0.9205810E+01
  0.7500000E-02  0.4769741E-07  0.9563731E-05  0.7499808E+02  0.0000000E+00  0.5856503E-28  0.4604199E-21 -0.1200000E+03  0.9205809E+01
  0.1000000E-01  0.9555897E-07  0.9540889E-05  0.7500192E+02  0.2942821E-30 -0.1487501E-25 -0.1173147E-18 -0.1200000E+03  0.9205809E+01
  0.1250000E-01  0.9540185E-07  0.9550886E-05  0.7499807E+02 -0.7474457E-28  0.6331271E-21  0.4968133E-14 -0.1200000E+03  0.9205808E+01
  0.1500000E-01  0.1433134E-06  0.9553763E-05  0.7500192E+02  0.3175177E-23 -0.7297405E-24 -0.5739913E-17 -0.1200000E+03  0.9205808E+01
  0.1750000E-01  0.1431707E-06  0.9549532E-05  0.7499807E+02 -0.3737623E-26 -0.4732371E-21 -0.3737329E-14 -0.1200000E+03  0.9205807E+01
  0.2000000E-01  0.1910611E-06  0.9538200E-05  0.7500192E+02  0.8095322E-24  0.1257044E-20  0.9920424E-14 -0.1200000E+03  0.9205807E+01
  0.2250000E-01  0.1908617E-06  0.9559737E-05  0.7499806E+02  0.6299698E-23 -0.2926636E-23 -0.2304167E-16 -0.1200000E+03  0.9205806E+01
  0.2500000E-01  0.2388597E-06  0.9534230E-05  0.7500193E+02  0.7948689E-24  0.2532984E-20  0.1983712E-13 -0.1200000E+03  0.9205805E+01
  0.2750000E-01  0.2385328E-06  0.9541623E-05  0.7499805E+02  0.1896284E-22 -0.7182093E-21 -0.5650563E-14 -0.1200000E+03  0.9205805E+01
  0.3000000E-01  0.2865679E-06  0.9541958E-05  0.7500193E+02 -0.2799017E-23  0.1256364E-20  0.9855621E-14 -0.1200000E+03  0.9205804E+01
  0.3250000E-01  0.2862427E-06  0.9535261E-05  0.7499805E+02  0.2525132E-22 -0.1993577E-20 -0.1562680E-13 -0.1200000E+03  0.9205804E+01
  0.3500000E-01  0.3342442E-06  0.9561496E-05  0.7500192E+02 -0.1276758E-22 -0.3654025E-20 -0.2868873E-13 -0.1200000E+03  0.9205803E+01
  0.3750000E-01  0.3340501E-06  0.9540759E-05  0.7499806E+02  0.6937987E-23 -0.2180522E-20 -0.1718444E-13 -0.1200000E+03  0.9205803E+01
  0.4000000E-01  0.3819480E-06  0.9552986E-05  0.7500191E+02 -0.2366512E-22 -0.1365010E-22 -0.1070352E-15 -0.1200000E+03  0.9205802E+01
  0.4250000E-01  0.3818150E-06  0.9558235E-05  0.7499806E+02  0.6869476E-23  0.2515286E-20  0.1977575E-13 -0.1200000E+03  0.9205802E+01
  0.4500000E-01  0.4297391E-06  0.9556522E-05  0.7500191E+02 -0.1106273E-22 -0.2920791E-20 -0.2293724E-13 -0.1200000E+03  0.9205801E+01
  0.4750000E-01  0.4295976E-06  0.9547873E-05  0.7499806E+02 -0.7788746E-23 -0.5449689E-20 -0.4280303E-13 -0.1200000E+03  0.9205801E+01
  0.5000000E-01  0.4774785E-06  0.9532316E-05  0.7500191E+02 -0.3831042E-22 -0.1069599E-22 -0.8405042E-16 -0.1200000E+03  0.9205800E+01
  0.5250000E-01  0.4772592E-06  0.9549837E-05  0.7499805E+02 -0.7842060E-23 -0.9255699E-23 -0.7299049E-16 -0.1200000E+03  0.9205799E+01
  0.5500000E-01  0.5252276E-06  0.9560494E-05  0.7500191E+02 -0.3835565E-22 -0.3272994E-21 -0.2569919E-14 -0.1200000E+03  0.9205799E+01
  0.5750000E-01  0.5250616E-06  0.9564304E-05  0.7499805E+02 -0.9477034E-23 -0.4338761E-20 -0.3395920E-13 -0.1200000E+03  0.9205798E+01
  0.6000000E-01  0.5730491E-06  0.9561296E-05  0.7500191E+02 -0.6007399E-22 -0.1328497E-22 -0.1045746E-15 -0.1200000E+03  0.9205798E+01
  0.6250000E-01  0.5728681E-06  0.9551499E-05  0.7499805E+02 -0.9538426E-23  0.4627580E-20  0.3638612E-13 -0.1200000E+03  0.9205797E+01
  0.6500000E-01  0.6208066E-06  0.9534949E-05  0.7500191E+02 -0.3688709E-22 -0.5503994E-20 -0.4313042E-13 -0.1200000E+03  0.9205797E+01
  0.6750000E-01  0.6205428E-06  0.9551646E-05  0.7499805E+02 -0.3719728E-22 -0.3605581E-20 -0.2836631E-13 -0.1200000E+03  0.9205796E+01
  0.7000000E-01  0.6685648E-06  0.9561650E-05  0.7500191E+02 -0.5495581E-22  0.3597904E-20  0.2816053E-13 -0.1200000E+03  0.9205796E+01
  0.7250000E-01  0.6683510E-06  0.9564988E-05  0.7499805E+02 -0.1918025E-22 -0.8404284E-23 -0.6607584E-16 -0.1200000E+03  0.9205795E+01
  0.7500000E-01  0.7163898E-06  0.9561690E-05  0.7500191E+02 -0.5500751E-22  0.5056654E-20  0.3970511E-13 -0.1200000E+03  0.9205795E+01
  0.7750000E-01  0.7161595E-06  0.9551801E-05  0.7499805E+02  0.6100457E-23 -0.5059169E-20 -0.3975271E-13 -0.1200000E+03  0.9205794E+01
  0.8000000E-01  0.7641488E-06  0.9535360E-05  0.7500191E+02 -0.8044331E-22  0.4830606E-23  0.3793033E-16 -0.1200000E+03  0.9205793E+01
  0.8250000E-01  0.7638364E-06  0.9552370E-05  0.7499804E+02  0.6100457E-23  0.1641113E-22  0.1294103E-15 -0.1200000E+03  0.9205793E+01
  0.8500000E-01  0.8119107E-06  0.9562899E-05  0.7500191E+02 -0.8023652E-22  0.5098874E-20  0.3994653E-13 -0.1200000E+03  0.9205792E+01
  0.8750000E-01  0.8116509E-06  0.9566982E-05  0.7499804E+02  0.3184645E-22  0.3009351E-20  0.2356056E-13 -0.1200000E+03  0.9205792E+01
  0.9000000E-01  0.8597456E-06  0.9564656E-05  0.7500191E+02 -0.6503708E-22  0.1416398E-20  0.1115988E-13 -0.1200000E+03  0.9205791E+01
  0.9250000E-01  0.8594741E-06  0.9555966E-05  0.7499804E+02  0.3908428E-22  0.5096757E-20  0.4005386E-13 -0.1200000E+03  0.9205791E+01
  0.9500000E-01  0.9075254E-06  0.9540961E-05  0.7500191E+02 -0.3949787E-22  0.5113960E-20  0.4003403E-13 -0.1200000E+03  0.9205791E+01
  0.9750000E-01  0.9071790E-06  0.9559650E-05  0.7499803E+02  0.6452009E-22 -0.5007286E-20 -0.3946341E-13 -0.1200000E+03  0.9205791E+01
  0.9999999E-01  0.9553237E-06  0.9532152E-05  0.7500192E+02 -0.6472688E-22  0.2246490E-20  0.1764813E-13 -0.1200000E+03  0.9205790E+01
  0.1025000E+00  0.9548397E-06  0.9538448E-05  0.7499802E+02  0.7589382E-22  0.2170952E-20  0.1707027E-13 -0.1200000E+03  0.9205790E+01
  0.1050000E+00  0.1003016E-05  0.9538619E-05  0.7500192E+02 -0.5355994E-22  0.2160198E-20  0.1703251E-13 -0.1200000E+03  0.9205789E+01
  0.1075000E+00  0.1002533E-05  0.9532719E-05  0.7499802E+02  0.8664717E-22  0.1299404E-20  0.1018154E-13 -0.1200000E+03  0.9205788E+01
  0.1100000E+00  0.1050680E-05  0.9560743E-05  0.7500191E+02 -0.4725269E-22  0.1016175E-19  0.7967895E-13 -0.1200000E+03  0.9205788E+01
  0.1125000E+00  0.1050337E-05  0.9542820E-05  0.7499803E+02  0.1375188E-21 -0.8610621E-20 -0.6814686E-13 -0.1200000E+03  0.9205787E+01
  0.1150000E+00  0.1098394E-05  0.9558917E-05  0.7500191E+02 -0.9047288E-22  0.3560715E-20  0.2808164E-13 -0.1200000E+03  0.9205787E+01
  0.1175000E+00  0.1098131E-05  0.9529177E-05  0.7499804E+02  0.1555100E-21  0.4408808E-20  0.3463165E-13 -0.1200000E+03  0.9205786E+01
  0.1200000E+00  0.1146040E-05  0.9533570E-05  0.7500190E+02 -0.6741522E-22 -0.8627035E-20 -0.6790736E-13 -0.1200000E+03  0.9205786E+01
  0.1225000E+00  0.1145799E-05  0.9532197E-05  0.7499804E+02  0.1129102E-21  0.1444191E-19  0.1137861E-12 -0.1200000E+03  0.9205785E+01
  0.1250000E+00  0.1193701E-05  0.9565062E-05  0.7500188E+02  0.4963084E-23  0.2295459E-20  0.1808501E-13 -0.1200000E+03  0.9205785E+01
  0.1275000E+00  0.1193624E-05  0.9552289E-05  0.7499805E+02  0.1240771E-21 -0.2117582E-20 -0.1670015E-13 -0.1200000E+03  0.9205784E+01
  0.1300000E+00  0.1241462E-05  0.9533900E-05  0.7500188E+02 -0.5790264E-23 -0.1014745E-19 -0.7949001E-13 -0.1200000E+03  0.9205784E+01
  0.1325000E+00  0.1241294E-05  0.9549918E-05  0.7499804E+02  0.7444626E-22  0.4269047E-20  0.3353486E-13 -0.1200000E+03  0.9205783E+01
  0.1350000E+00  0.1289212E-05  0.9560433E-05  0.7500188E+02  0.1488925E-22 -0.1007969E-19 -0.7951549E-13 -0.1200000E+03  0.9205782E+01
  0.1375000E+00  0.1289096E-05  0.9565493E-05  0.7499804E+02  0.2316106E-22  0.1273890E-23  0.1000892E-16 -0.1200000E+03  0.9205782E+01
  0.1400000E+00  0.1337039E-05  0.9565157E-05  0.7500188E+02  0.1654361E-22 -0.1733029E-19 -0.1359993E-12 -0.1200000E+03  0.9205781E+01
  0.1425000E+00  0.1336922E-05  0.9559483E-05  0.7499804E+02 -0.6286573E-22 -0.7348013E-21 -0.5769474E-14 -0.1200000E+03  0.9205781E+01
  0.1450000E+00  0.1384836E-05  0.9548538E-05  0.7500188E+02  0.1323489E-22 -0.3642241E-20 -0.2868447E-13 -0.1200000E+03  0.9205780E+01
  0.1475000E+00  0.1384665E-05  0.9532394E-05  0.7499804E+02 -0.8271806E-22 -0.1007969E-19 -0.7916113E-13 -0.1200000E+03  0.9205780E+01
  0.1500000E+00  0.1432498E-05  0.9551070E-05  0.7500188E+02 -0.3970467E-22  0.1520424E-20  0.1196449E-13 -0.1200000E+03  0.9205779E+01
