 # problem=TPV104
 # author=Surendra Nadh Somala
 # Date = 08/03/2016; time = 16:51:48
 # code=SPECFEM3D_Cartesian (split nodes)
 # code_version=1.1
 # element_size=100 m  (*5 GLL nodes)
 # time_step=  2.0000001E-03
 # location=faultst000dp075
 # Column #1 = Time (s)
 # Column #2 = horizontal right-lateral slip (m)
 # Column #3 = horizontal right-lateral slip rate (m/s)
 # Column #4 = horizontal right-lateral shear stress (MPa)
 # Column #5 = vertical up-dip slip (m)
 # Column #6 = vertical up-dip slip rate (m/s)
 # Column #7 = vertical up-dip shear stress (MPa)
 # Column #8 = normal stress (MPa)
 #
 # The line below lists the names of the data fields:
 # t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stres
 s
 #
  0.2000000E-02  0.0000000E+00  0.5383415E-02  0.8124000E+02  0.0000000E+00 -0.3455953E-35 -0.5215459E-31 -0.1200000E+03
  0.4000000E-02  0.2153366E-04  0.1610477E-01  0.8123901E+02  0.0000000E+00 -0.1033946E-34 -0.5215641E-31 -0.1200000E+03
  0.6000000E-02  0.6441907E-04  0.2671436E-01  0.8123705E+02  0.0000000E+00 -0.1182153E-18 -0.3594847E-15 -0.1200000E+03
  0.8000000E-02  0.1283911E-03  0.3717100E-01  0.8123415E+02 -0.4725269E-21 -0.7274475E-17 -0.1589776E-13 -0.1200000E+03
  0.1000000E-01  0.2131031E-03  0.4743485E-01  0.8123027E+02 -0.2909814E-19 -0.1228646E-15 -0.2104010E-12 -0.1200000E+03
  0.1200000E-01  0.3181305E-03  0.5746760E-01  0.8122548E+02 -0.4919342E-18 -0.2117127E-15 -0.2992371E-12 -0.1200000E+03
  0.1400000E-01  0.4429735E-03  0.6723218E-01  0.8121980E+02 -0.8759569E-18 -0.3106352E-15 -0.3752627E-12 -0.1200000E+03
  0.1600000E-01  0.5870592E-03  0.7669374E-01  0.8121323E+02 -0.1734472E-17  0.5234010E-16  0.5542427E-13 -0.1200000E+03
  0.1800000E-01  0.7497484E-03  0.8581983E-01  0.8120582E+02 -0.6665884E-18  0.5010865E-12  0.4741456E-09 -0.1200000E+03
  0.2000000E-01  0.9303386E-03  0.9458049E-01  0.8119757E+02  0.2002618E-14 -0.5864717E-12 -0.5034861E-09 -0.1200000E+03
  0.2200000E-01  0.1128070E-02  0.1029476E+00  0.8118858E+02 -0.2346560E-14 -0.1874503E-12 -0.1478306E-09 -0.1200000E+03
  0.2400000E-01  0.1342129E-02  0.1108965E+00  0.8117879E+02  0.1252818E-14 -0.1764772E-12 -0.1291855E-09 -0.1200000E+03
  0.2600000E-01  0.1571656E-02  0.1184053E+00  0.8116834E+02 -0.3052469E-14 -0.6958699E-12 -0.4770272E-09 -0.1200000E+03
  0.2800000E-01  0.1815750E-02  0.1254548E+00  0.8115720E+02 -0.1530670E-14 -0.6026196E-12 -0.3898363E-09 -0.1200000E+03
  0.3000000E-01  0.2073476E-02  0.1320290E+00  0.8114548E+02 -0.5462949E-14 -0.1117441E-11 -0.6867836E-09 -0.1200000E+03
  0.3200000E-01  0.2343866E-02  0.1381155E+00  0.8113311E+02 -0.6000442E-14  0.2077842E-12  0.1220585E-09 -0.1200000E+03
  0.3400000E-01  0.2625938E-02  0.1437051E+00  0.8112028E+02 -0.4631806E-14  0.1127315E-11  0.6363592E-09 -0.1200000E+03
  0.3600000E-01  0.2918686E-02  0.1487918E+00  0.8110690E+02 -0.1491174E-14  0.2453122E-11  0.1337207E-08 -0.1200000E+03
  0.3800000E-01  0.3221105E-02  0.1533728E+00  0.8109315E+02  0.5180687E-14  0.3168421E-11  0.1675246E-08 -0.1200000E+03
  0.4000000E-01  0.3532178E-02  0.1574489E+00  0.8107893E+02  0.1118254E-13 -0.1233391E-12 -0.6351403E-10 -0.1200000E+03
  0.4200000E-01  0.3850901E-02  0.1610244E+00  0.8106442E+02  0.4687331E-14 -0.1923638E-11 -0.9684156E-09 -0.1200000E+03
  0.4400000E-01  0.4176275E-02  0.1641067E+00  0.8104956E+02  0.3487932E-14 -0.6648630E-11 -0.3283648E-08 -0.1200000E+03
  0.4600000E-01  0.4507327E-02  0.1667067E+00  0.8103448E+02 -0.2190728E-13 -0.6637760E-11 -0.3226551E-08 -0.1200000E+03
  0.4800000E-01  0.4843102E-02  0.1688382E+00  0.8101915E+02 -0.2306315E-13 -0.1100785E-10 -0.5282257E-08 -0.1200000E+03
  0.5000000E-01  0.5182679E-02  0.1705178E+00  0.8100369E+02 -0.6593868E-13 -0.1184267E-10 -0.5625812E-08 -0.1200000E+03
  0.5200000E-01  0.5525173E-02  0.1717658E+00  0.8098804E+02 -0.7043378E-13 -0.9160697E-11 -0.4319292E-08 -0.1200000E+03
  0.5400000E-01  0.5869743E-02  0.1726048E+00  0.8097236E+02 -0.1025815E-12 -0.7676001E-11 -0.3600961E-08 -0.1200000E+03
  0.5600000E-01  0.6215593E-02  0.1730598E+00  0.8095657E+02 -0.1011378E-12 -0.1368395E-10 -0.6401287E-08 -0.1200000E+03
  0.5800000E-01  0.6561982E-02  0.1731583E+00  0.8094081E+02 -0.1573173E-12 -0.2549034E-10 -0.1191515E-07 -0.1200000E+03
  0.6000000E-01  0.6908226E-02  0.1729306E+00  0.8092499E+02 -0.2030992E-12 -0.4187574E-10 -0.1959625E-07 -0.1200000E+03
  0.6200000E-01  0.7253705E-02  0.1724086E+00  0.8090926E+02 -0.3248204E-12 -0.8270934E-10 -0.3881447E-07 -0.1200000E+03
  0.6400000E-01  0.7597860E-02  0.1716262E+00  0.8089352E+02 -0.5339370E-12 -0.5416965E-10 -0.2553210E-07 -0.1200000E+03
  0.6600000E-01  0.7940209E-02  0.1706187E+00  0.8087794E+02 -0.5414991E-12 -0.1052311E-09 -0.4988242E-07 -0.1200000E+03
  0.6800000E-01  0.8280334E-02  0.1694226E+00  0.8086239E+02 -0.9548619E-12 -0.8908783E-10 -0.4252000E-07 -0.1200000E+03
  0.7000000E-01  0.8617899E-02  0.1680754E+00  0.8084705E+02 -0.8978512E-12 -0.4462206E-10 -0.2146394E-07 -0.1200000E+03
