 # problem=TPV104
 # author=Surendra Nadh Somala
 # Date = 09/23/2020; time = 16:16:51
 # code=SPECFEM3D_Cartesian (split nodes)
 # code_version=1.1
 # element_size=100 m  (*5 GLL nodes)
 # time_step=   2.00000009E-03
 # location=faultst-045dp000
 # Column #1 = Time (s)
 # Column #2 = horizontal right-lateral slip (m)
 # Column #3 = horizontal right-lateral slip rate (m/s)
 # Column #4 = horizontal right-lateral shear stress (MPa)
 # Column #5 = vertical up-dip slip (m)
 # Column #6 = vertical up-dip slip rate (m/s)
 # Column #7 = vertical up-dip shear stress (MPa)
 # Column #8 = normal stress (MPa)
 #
 # The line below lists the names of the data fields:
                                                                                                                                                                                # t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress
 #
  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.6000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.8000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1000000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1200000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1400000E-01  0.0000000E+00 -0.1775399E-31  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.8317620E-30 -0.1200000E+03
  0.1600000E-01 -0.7101161E-34 -0.7978415E-31  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.3505900E-29 -0.1200000E+03
  0.1800000E-01 -0.3191232E-33  0.3849643E-28  0.7000000E+02  0.0000000E+00 -0.3081488E-35  0.3395477E-26 -0.1200000E+03
  0.2000000E-01  0.1539149E-30  0.5790627E-27  0.7000000E+02  0.1880791E-36  0.0000000E+00  0.4459887E-25 -0.1200000E+03
  0.2200000E-01  0.2315934E-29  0.4597403E-26  0.7000000E+02  0.0000000E+00 -0.3944305E-33  0.3167578E-24 -0.1200000E+03
  0.2400000E-01  0.1854353E-28  0.2570629E-25  0.7000000E+02 -0.3009266E-35 -0.2348094E-32  0.1608356E-23 -0.1200000E+03
  0.2600000E-01  0.1051411E-27  0.1135853E-24  0.7000000E+02 -0.6018531E-35 -0.6310888E-32  0.6530131E-23 -0.1200000E+03
  0.2800000E-01  0.4728847E-27  0.4218436E-24  0.7000000E+02 -0.3611119E-34 -0.4065099E-31  0.2250557E-22 -0.1200000E+03
  0.3000000E-01  0.1792515E-26  0.1367892E-23  0.7000000E+02 -0.9629650E-34 -0.1256261E-30  0.6830216E-22 -0.1200000E+03
  0.3200000E-01  0.5944454E-26  0.3972943E-23  0.7000000E+02 -0.9629650E-33 -0.2910897E-30  0.1870871E-21 -0.1200000E+03
  0.3400000E-01  0.1768429E-25  0.1052450E-22  0.7000000E+02 -0.3851860E-33  0.9860761E-31  0.4706713E-21 -0.1200000E+03
  0.3600000E-01  0.4804245E-25  0.2577073E-22  0.7000000E+02  0.0000000E+00 -0.1615587E-29  0.1101777E-20 -0.1200000E+03
  0.3800000E-01  0.1207672E-24  0.5892451E-22  0.7000000E+02 -0.9244464E-32 -0.4733165E-29  0.2423787E-20 -0.1200000E+03
  0.4000000E-01  0.2837405E-24  0.1268003E-21  0.7000000E+02 -0.2465190E-31 -0.7888609E-29  0.5050336E-20 -0.1200000E+03
  0.4200000E-01  0.6279683E-24  0.2583862E-21  0.7000000E+02 -0.3697785E-31 -0.6310887E-29  0.1003008E-19 -0.1200000E+03
  0.4400000E-01  0.1317285E-23  0.5010024E-21  0.7000000E+02  0.0000000E+00 -0.6916734E-29  0.1908445E-19 -0.1200000E+03
  0.4600000E-01  0.2631978E-23  0.9278187E-21  0.7000000E+02 -0.1972152E-30 -0.6310887E-28  0.3493813E-19 -0.1200000E+03
  0.4800000E-01  0.5028560E-23  0.1645789E-20  0.7000000E+02 -0.3944305E-30 -0.1262177E-27  0.6176185E-19 -0.1200000E+03
  0.5000000E-01  0.9215132E-23  0.2801850E-20  0.7000000E+02 -0.5916457E-30 -0.1262177E-27  0.1057456E-18 -0.1200000E+03
  0.5200000E-01  0.1623596E-22  0.4583413E-20  0.7000000E+02 -0.1183291E-29  0.1106677E-27  0.1758148E-18 -0.1200000E+03
  0.5400000E-01  0.2754878E-22  0.7206529E-20  0.7000000E+02  0.0000000E+00 -0.2213355E-27  0.2844955E-18 -0.1200000E+03
  0.5600000E-01  0.4506208E-22  0.1088166E-19  0.7000000E+02 -0.7888609E-30  0.1938708E-28  0.4489168E-18 -0.1200000E+03
  0.5800000E-01  0.7107544E-22  0.1574258E-19  0.7000000E+02  0.7888609E-30 -0.1938708E-28  0.6919305E-18 -0.1200000E+03
  0.6000000E-01  0.1080324E-21  0.2171864E-19  0.7000000E+02 -0.4733165E-29 -0.1172916E-26  0.1043291E-17 -0.1200000E+03
  0.6200000E-01  0.1579500E-21  0.2832516E-19  0.7000000E+02 -0.9466331E-29 -0.1615587E-26  0.1540820E-17 -0.1200000E+03
  0.6400000E-01  0.2213330E-21  0.3434073E-19  0.7000000E+02 -0.1262177E-28 -0.1615587E-26  0.2231437E-17 -0.1200000E+03
  0.6600000E-01  0.2953129E-21  0.3733542E-19  0.7000000E+02 -0.2524355E-28 -0.6526969E-27  0.3171879E-17 -0.1200000E+03
  0.6800000E-01  0.3706748E-21  0.3301129E-19  0.7000000E+02 -0.1893266E-28  0.0000000E+00  0.4428897E-17 -0.1200000E+03
  0.7000000E-01  0.4273580E-21  0.1431642E-19  0.7000000E+02 -0.2524355E-28 -0.3231174E-26  0.6078593E-17 -0.1200000E+03
  0.7200000E-01  0.4279405E-21 -0.2969938E-19  0.7000000E+02 -0.3155444E-28 -0.4846761E-26  0.8204523E-17 -0.1200000E+03
  0.7400000E-01  0.3085605E-21 -0.1153069E-18  0.7000000E+02 -0.5048710E-28 -0.1130911E-25  0.1089402E-16 -0.1200000E+03
  0.7600001E-01 -0.3328715E-22 -0.2657941E-18  0.7000000E+02 -0.8835242E-28 -0.2939076E-25  0.1423208E-16 -0.1200000E+03
  0.7800000E-01 -0.7546157E-21 -0.5133986E-18  0.7000000E+02 -0.1388395E-27 -0.2786888E-25  0.1829189E-16 -0.1200000E+03
  0.8000001E-01 -0.2086882E-20 -0.9013908E-18  0.7000000E+02 -0.1893266E-27  0.5871045E-26  0.2312101E-16 -0.1200000E+03
  0.8200000E-01 -0.4360179E-20 -0.1486157E-17  0.7000000E+02 -0.1262177E-27 -0.1941613E-25  0.2872188E-16 -0.1200000E+03
  0.8400001E-01 -0.8031509E-20 -0.2339055E-17  0.7000000E+02 -0.1135960E-27 -0.4728501E-25  0.3502493E-16 -0.1200000E+03
  0.8600000E-01 -0.1371640E-19 -0.3547735E-17  0.7000000E+02 -0.3534097E-27 -0.7307623E-25  0.4185257E-16 -0.1200000E+03
  0.8800001E-01 -0.2222245E-19 -0.5216486E-17  0.7000000E+02 -0.5679799E-27 -0.3980802E-26  0.4887201E-16 -0.1200000E+03
  0.9000000E-01 -0.3458235E-19 -0.7465103E-17  0.7000000E+02 -0.4792330E-27 -0.6064268E-25  0.5553439E-16 -0.1200000E+03
  0.9200001E-01 -0.5208287E-19 -0.1042565E-16  0.7000000E+02 -0.9150787E-27 -0.1138407E-24  0.6099807E-16 -0.1200000E+03
  0.9400000E-01 -0.7628496E-19 -0.1423640E-16  0.7000000E+02 -0.6058452E-27  0.4275489E-25  0.6403402E-16 -0.1200000E+03
  0.9600000E-01 -0.1090285E-18 -0.1903219E-16  0.7000000E+02 -0.4417621E-27 -0.3075432E-25  0.6291099E-16 -0.1200000E+03
  0.9800000E-01 -0.1524137E-18 -0.2493042E-16  0.7000000E+02 -0.9592549E-27 -0.4996687E-25  0.5526039E-16 -0.1200000E+03
  0.1000000E+00 -0.2087502E-18 -0.3201205E-16  0.7000000E+02 -0.7573065E-27 -0.5542110E-25  0.3792084E-16 -0.1200000E+03
  0.1020000E+00 -0.2804619E-18 -0.4029691E-16  0.7000000E+02 -0.1161203E-26 -0.8271798E-26  0.6764438E-17 -0.1200000E+03
  0.1040000E+00 -0.3699378E-18 -0.4971316E-16  0.7000000E+02 -0.8077936E-27  0.4797647E-25 -0.4348903E-16 -0.1200000E+03
  0.1060000E+00 -0.4793146E-18 -0.6006090E-16  0.7000000E+02 -0.8077936E-27  0.1083607E-24 -0.1194626E-15 -0.1200000E+03
  0.1080000E+00 -0.6101815E-18 -0.7097063E-16  0.7000000E+02  0.8077936E-27  0.3519653E-24 -0.2293033E-15 -0.1200000E+03
  0.1100000E+00 -0.7631971E-18 -0.8185778E-16  0.7000000E+02  0.8077936E-27  0.3201189E-24 -0.3828364E-15 -0.1200000E+03
  0.1120000E+00 -0.9376126E-18 -0.9187553E-16  0.7000000E+02  0.1615587E-26 -0.3300451E-24 -0.5916685E-15 -0.1200000E+03
  0.1140000E+00 -0.1130699E-17 -0.9986891E-16  0.7000000E+02 -0.3231174E-26 -0.4384055E-25 -0.8692093E-15 -0.1200000E+03
  0.1160000E+00 -0.1337088E-17 -0.1043344E-15  0.7000000E+02 -0.1615587E-26 -0.2464999E-24 -0.1230572E-14 -0.1200000E+03
  0.1180000E+00 -0.1548037E-17 -0.1033903E-15  0.7000000E+02 -0.4846761E-26  0.1113385E-23 -0.1692318E-14 -0.1200000E+03
  0.1200000E+00 -0.1750650E-17 -0.9476419E-16  0.7000000E+02  0.6462349E-26  0.1781747E-23 -0.2271980E-14 -0.1200000E+03
  0.1220000E+00 -0.1927094E-17 -0.7580498E-16  0.7000000E+02  0.1615587E-25 -0.7940950E-25 -0.2987334E-14 -0.1200000E+03
  0.1240000E+00 -0.2053869E-17 -0.4352731E-16  0.7000000E+02  0.6462349E-26  0.1813180E-23 -0.3855344E-14 -0.1200000E+03
  0.1260000E+00 -0.2101203E-17  0.5302582E-17  0.7000000E+02  0.2261822E-25  0.1495542E-23 -0.4890741E-14 -0.1200000E+03
  0.1280000E+00 -0.2032659E-17  0.7403153E-16  0.7000000E+02  0.3231174E-25  0.9257806E-23 -0.6104198E-14 -0.1200000E+03
  0.1300000E+00 -0.1805077E-17  0.1659264E-15  0.7000000E+02  0.5816114E-25  0.5631445E-23 -0.7500046E-14 -0.1200000E+03
  0.1320000E+00 -0.1368953E-17  0.2839176E-15  0.7000000E+02  0.5816114E-25  0.9416625E-23 -0.9073558E-14 -0.1200000E+03
  0.1340000E+00 -0.6694062E-18  0.4302743E-15  0.7000000E+02  0.9693523E-25  0.8471156E-23 -0.1080776E-13 -0.1200000E+03
  0.1360000E+00  0.3521440E-18  0.6062118E-15  0.7000000E+02  0.8401053E-25  0.8279251E-23 -0.1266991E-13 -0.1200000E+03
  0.1380000E+00  0.1755441E-17  0.8114353E-15  0.7000000E+02  0.1227846E-24  0.3299127E-22 -0.1460763E-13 -0.1200000E+03
  0.1400000E+00  0.3597886E-17  0.1043628E-14  0.7000000E+02  0.2164887E-24 -0.5406455E-23 -0.1654490E-13 -0.1200000E+03
  0.1420000E+00  0.5929954E-17  0.1297904E-14  0.7000000E+02  0.1631743E-24 -0.1919046E-24 -0.1837821E-13 -0.1200000E+03
  0.1440000E+00  0.8789500E-17  0.1566242E-14  0.7000000E+02  0.2035640E-24  0.1985233E-22 -0.1997286E-13 -0.1200000E+03
  0.1460000E+00  0.1219492E-16  0.1836951E-14  0.7000000E+02  0.2908057E-24  0.1590834E-22 -0.2116009E-13 -0.1200000E+03
  0.1480000E+00  0.1613730E-16  0.2094178E-14  0.7000000E+02  0.2067952E-24  0.7887997E-23 -0.2173523E-13 -0.1200000E+03
  0.1500000E+00  0.2057163E-16  0.2317548E-14  0.7000000E+02  0.3489668E-24 -0.1514071E-22 -0.2145725E-13 -0.1200000E+03
  0.1520000E+00  0.2540749E-16  0.2481956E-14  0.7000000E+02  0.1292470E-24  0.2302872E-22 -0.2005059E-13 -0.1200000E+03
  0.1540000E+00  0.3049946E-16  0.2557605E-14  0.7000000E+02  0.3618915E-24  0.3118140E-22 -0.1720916E-13 -0.1200000E+03
  0.1560000E+00  0.3563791E-16  0.2510338E-14  0.7000000E+02  0.2584939E-24  0.7570357E-23 -0.1260387E-13 -0.1200000E+03
  0.1580000E+00  0.4054081E-16  0.2302355E-14  0.7000000E+02  0.2584939E-24  0.5982169E-23 -0.5893303E-14 -0.1200000E+03
  0.1600000E+00  0.4484733E-16  0.1893356E-14  0.7000000E+02  0.2067952E-24 -0.2911675E-23  0.3261234E-14 -0.1200000E+03
  0.1620000E+00  0.4811424E-16  0.1242205E-14  0.7000000E+02  0.3101927E-24 -0.3435778E-22  0.1517652E-13 -0.1200000E+03
  0.1640000E+00  0.4981615E-16  0.3091199E-15  0.7000000E+02  0.1033976E-24 -0.4568684E-22  0.3012358E-13 -0.1200000E+03
  0.1660000E+00  0.4935072E-16 -0.9415398E-15  0.7000000E+02  0.0000000E+00 -0.4632211E-22  0.4829956E-13 -0.1200000E+03
  0.1680000E+00  0.4604999E-16 -0.2537926E-14  0.7000000E+02 -0.2067952E-24  0.2239344E-22  0.6979515E-13 -0.1200000E+03
