 # problem=TPV104
 # author=Surendra Nadh Somala
 # Date = 09/23/2020; time = 16:16:51
 # code=SPECFEM3D_Cartesian (split nodes)
 # code_version=1.1
 # element_size=100 m  (*5 GLL nodes)
 # time_step=   2.00000009E-03
 # location=faultst075dp000
 # Column #1 = Time (s)
 # Column #2 = horizontal right-lateral slip (m)
 # Column #3 = horizontal right-lateral slip rate (m/s)
 # Column #4 = horizontal right-lateral shear stress (MPa)
 # Column #5 = vertical up-dip slip (m)
 # Column #6 = vertical up-dip slip rate (m/s)
 # Column #7 = vertical up-dip shear stress (MPa)
 # Column #8 = normal stress (MPa)
 #
 # The line below lists the names of the data fields:
                                                                                                                                                                                # t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress
 #
  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.6000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.8000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1000000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1200000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1400000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1600000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1499407E-34 -0.1200000E+03
  0.1800000E-01  0.0000000E+00  0.1168188E-34  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.2141596E-33 -0.1200000E+03
  0.2000000E-01  0.4672884E-37  0.2543309E-33  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1988818E-31 -0.1200000E+03
  0.2200000E-01  0.1017324E-35  0.2472381E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.2740169E-30 -0.1200000E+03
  0.2400000E-01  0.9936253E-35  0.1671082E-31  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.2116058E-29 -0.1200000E+03
  0.2600000E-01  0.6786059E-34  0.8997848E-31  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1172632E-28 -0.1200000E+03
  0.2800000E-01  0.3698502E-33  0.4098070E-30  0.7000000E+02  0.0000000E+00 -0.9516803E-37 -0.5192146E-28 -0.1200000E+03
  0.3000000E-01  0.1707089E-32  0.1633978E-29  0.7000000E+02  0.0000000E+00 -0.2821186E-36 -0.1948525E-27 -0.1200000E+03
  0.3200000E-01  0.6905760E-32  0.5834805E-29  0.7000000E+02  0.0000000E+00 -0.3761582E-36 -0.6430487E-27 -0.1200000E+03
  0.3400000E-01  0.2504631E-31  0.1896912E-28  0.7000000E+02  0.0000000E+00  0.8245389E-36 -0.1913481E-26 -0.1200000E+03
  0.3600000E-01  0.8278227E-31  0.5685125E-28  0.7000000E+02  0.0000000E+00 -0.3153711E-35 -0.5226928E-26 -0.1200000E+03
  0.3800000E-01  0.2524513E-30  0.1586361E-27  0.7000000E+02 -0.4701977E-37  0.6596311E-35 -0.1328470E-25 -0.1200000E+03
  0.4000000E-01  0.7173268E-30  0.4154560E-27  0.7000000E+02 -0.4701977E-37  0.0000000E+00 -0.3174349E-25 -0.1200000E+03
  0.4200000E-01  0.1914276E-29  0.1028018E-26  0.7000000E+02 -0.1410593E-36  0.5045937E-34 -0.7190067E-25 -0.1200000E+03
  0.4400000E-01  0.4829398E-29  0.2416895E-26  0.7000000E+02 -0.2821186E-36 -0.9629650E-34 -0.1554098E-24 -0.1200000E+03
  0.4600000E-01  0.1158186E-28  0.5424513E-26  0.7000000E+02 -0.7523164E-36 -0.5870235E-33 -0.3223035E-24 -0.1200000E+03
  0.4800000E-01  0.2652745E-28  0.1167023E-25  0.7000000E+02 -0.3385424E-35  0.3258674E-33 -0.6442665E-24 -0.1200000E+03
  0.5000000E-01  0.5826280E-28  0.2415156E-25  0.7000000E+02 -0.1504633E-35 -0.4221639E-33 -0.1246045E-23 -0.1200000E+03
  0.5200000E-01  0.1231337E-27  0.4822702E-25  0.7000000E+02 -0.9027797E-35  0.7395586E-34 -0.2339197E-23 -0.1200000E+03
  0.5400000E-01  0.2511709E-27  0.9317160E-25  0.7000000E+02 -0.3009266E-35  0.2311116E-32 -0.4274143E-23 -0.1200000E+03
  0.5600000E-01  0.4958201E-27  0.1745640E-24  0.7000000E+02 -0.2708339E-34  0.2958234E-33 -0.7618840E-23 -0.1200000E+03
  0.5800000E-01  0.9494268E-27  0.3178463E-24  0.7000000E+02 -0.4212972E-34  0.6458799E-32 -0.1327531E-22 -0.1200000E+03
  0.6000000E-01  0.1767205E-26  0.5634886E-24  0.7000000E+02 -0.1203706E-34 -0.9836111E-32 -0.2264897E-22 -0.1200000E+03
  0.6200000E-01  0.3203381E-26  0.9742896E-24  0.7000000E+02 -0.1324077E-33 -0.6471125E-31 -0.3788995E-22 -0.1200000E+03
  0.6400000E-01  0.5664363E-26  0.1645445E-23  0.7000000E+02 -0.3370377E-33  0.2366588E-32 -0.6223033E-22 -0.1200000E+03
  0.6600000E-01  0.9785160E-26  0.2718104E-23  0.7000000E+02 -0.6981496E-33  0.1303593E-30 -0.1004463E-21 -0.1200000E+03
  0.6800000E-01  0.1653678E-25  0.4397222E-23  0.7000000E+02 -0.5055566E-33 -0.1033408E-30 -0.1594787E-21 -0.1200000E+03
  0.7000000E-01  0.2737405E-25  0.6974552E-23  0.7000000E+02 -0.8185202E-33 -0.1540744E-30 -0.2492491E-21 -0.1200000E+03
  0.7200000E-01  0.4443499E-25  0.1085769E-22  0.7000000E+02 -0.2407412E-32 -0.3788011E-30 -0.3837094E-21 -0.1200000E+03
  0.7400000E-01  0.7080479E-25  0.1660600E-22  0.7000000E+02 -0.5392604E-32  0.1487990E-30 -0.5821604E-21 -0.1200000E+03
  0.7600001E-01  0.1108590E-24  0.2497440E-22  0.7000000E+02 -0.3755563E-32 -0.7650965E-30 -0.8708671E-21 -0.1200000E+03
  0.7800000E-01  0.1707024E-24  0.3696577E-22  0.7000000E+02 -0.1232595E-31 -0.1058257E-29 -0.1284984E-20 -0.1200000E+03
  0.8000001E-01  0.2587221E-24  0.5389286E-22  0.7000000E+02 -0.1588892E-31  0.1406934E-29 -0.1870776E-20 -0.1200000E+03
  0.8200000E-01  0.3862739E-24  0.7745082E-22  0.7000000E+02 -0.1482966E-31  0.5361789E-30 -0.2688083E-20 -0.1200000E+03
  0.8400001E-01  0.5685253E-24  0.1098014E-21  0.7000000E+02 -0.2388153E-31  0.1926399E-29 -0.3812940E-20 -0.1200000E+03
  0.8600000E-01  0.8254794E-24  0.1536704E-21  0.7000000E+02 -0.2166671E-31 -0.5377665E-29 -0.5340182E-20 -0.1200000E+03
  0.8800001E-01  0.1183207E-23  0.2124612E-21  0.7000000E+02 -0.6548162E-31  0.1688320E-28 -0.7385803E-20 -0.1200000E+03
  0.9000000E-01  0.1675324E-23  0.2903864E-21  0.7000000E+02 -0.2927414E-31  0.5416318E-29 -0.1008873E-19 -0.1200000E+03
  0.9200001E-01  0.2344753E-23  0.3926232E-21  0.7000000E+02 -0.1309632E-30 -0.1289630E-28 -0.1361169E-19 -0.1200000E+03
  0.9400000E-01  0.3245817E-23  0.5254976E-21  0.7000000E+02 -0.8011869E-31 -0.2114160E-30 -0.1814046E-19 -0.1200000E+03
  0.9600000E-01  0.4446743E-23  0.6967040E-21  0.7000000E+02 -0.2187856E-30  0.5761841E-29 -0.2388127E-19 -0.1200000E+03
  0.9800000E-01  0.6032634E-23  0.9155694E-21  0.7000000E+02 -0.1417484E-30 -0.1383347E-28 -0.3105540E-19 -0.1200000E+03
  0.1000000E+00  0.8109022E-23  0.1193369E-20  0.7000000E+02 -0.2095412E-30  0.2014435E-28 -0.3989061E-19 -0.1200000E+03
  0.1020000E+00  0.1080611E-22  0.1543700E-20  0.7000000E+02 -0.7395571E-31 -0.3713327E-28 -0.5060877E-19 -0.1200000E+03
  0.1040000E+00  0.1428382E-22  0.1982922E-20  0.7000000E+02 -0.2958228E-30 -0.1335383E-28 -0.6340934E-19 -0.1200000E+03
  0.1060000E+00  0.1873780E-22  0.2530655E-20  0.7000000E+02 -0.4683862E-30  0.2423386E-29 -0.7844861E-19 -0.1200000E+03
  0.1080000E+00  0.2440644E-22  0.3210324E-20  0.7000000E+02 -0.4930381E-30 -0.1262177E-28 -0.9581497E-19 -0.1200000E+03
  0.1100000E+00  0.3157909E-22  0.4049728E-20  0.7000000E+02 -0.7395571E-30  0.9319919E-28 -0.1155011E-18 -0.1200000E+03
  0.1120000E+00  0.4060535E-22  0.5081577E-20  0.7000000E+02 -0.3944305E-30  0.7775003E-29 -0.1373746E-18 -0.1200000E+03
  0.1140000E+00  0.5190540E-22  0.6343921E-20  0.7000000E+02 -0.7888609E-30 -0.7775003E-29 -0.1611492E-18 -0.1200000E+03
  0.1160000E+00  0.6598104E-22  0.7880362E-20  0.7000000E+02 -0.1972152E-30 -0.1106677E-27 -0.1863598E-18 -0.1200000E+03
  0.1180000E+00  0.8342685E-22  0.9739900E-20  0.7000000E+02 -0.1972152E-29 -0.8158711E-28 -0.2123460E-18 -0.1200000E+03
  0.1200000E+00  0.1049406E-21  0.1197620E-19  0.7000000E+02 -0.1774937E-29 -0.4135903E-27 -0.2382477E-18 -0.1200000E+03
  0.1220000E+00  0.1313317E-21  0.1464606E-19  0.7000000E+02 -0.4733165E-29 -0.1728678E-27 -0.2630214E-18 -0.1200000E+03
  0.1240000E+00  0.1635249E-21  0.1780677E-19  0.7000000E+02 -0.3549874E-29  0.1417678E-27 -0.2854793E-18 -0.1200000E+03
  0.1260000E+00  0.2025587E-21  0.2151205E-19  0.7000000E+02 -0.3944305E-29 -0.9128065E-28 -0.3043625E-18 -0.1200000E+03
  0.1280000E+00  0.2495731E-21  0.2580625E-19  0.7000000E+02 -0.3944305E-29 -0.4135903E-27 -0.3184494E-18 -0.1200000E+03
  0.1300000E+00  0.3057837E-21  0.3071636E-19  0.7000000E+02 -0.6310887E-29  0.2310290E-27 -0.3267087E-18 -0.1200000E+03
  0.1320000E+00  0.3724385E-21  0.3624173E-19  0.7000000E+02 -0.3944305E-29  0.8158711E-28 -0.3284943E-18 -0.1200000E+03
  0.1340000E+00  0.4507507E-21  0.4234116E-19  0.7000000E+02 -0.7099748E-29  0.2407226E-27 -0.3237881E-18 -0.1200000E+03
  0.1360000E+00  0.5418032E-21  0.4891724E-19  0.7000000E+02 -0.6310887E-29 -0.5242581E-27 -0.3134764E-18 -0.1200000E+03
  0.1380000E+00  0.6464196E-21  0.5579837E-19  0.7000000E+02 -0.8677470E-29 -0.7189362E-28 -0.2996605E-18 -0.1200000E+03
  0.1400000E+00  0.7649967E-21  0.6271855E-19  0.7000000E+02 -0.7888609E-29  0.1922548E-27 -0.2859720E-18 -0.1200000E+03
  0.1420000E+00  0.8972939E-21  0.6929623E-19  0.7000000E+02 -0.1025519E-28 -0.4349968E-27 -0.2778786E-18 -0.1200000E+03
  0.1440000E+00  0.1042182E-20  0.7501305E-19  0.7000000E+02 -0.1104405E-28  0.2116419E-27 -0.2829384E-18 -0.1200000E+03
  0.1460000E+00  0.1197346E-20  0.7919479E-19  0.7000000E+02 -0.1262177E-28 -0.4951774E-27 -0.3109666E-18 -0.1200000E+03
  0.1480000E+00  0.1358961E-20  0.8099665E-19  0.7000000E+02 -0.1301620E-28  0.2116419E-27 -0.3740611E-18 -0.1200000E+03
  0.1500000E+00  0.1521333E-20  0.7939611E-19  0.7000000E+02 -0.1331203E-28 -0.2019484E-27 -0.4864326E-18 -0.1200000E+03
  0.1520000E+00  0.1676545E-20  0.7319702E-19  0.7000000E+02 -0.1498836E-28 -0.6058452E-27 -0.6639772E-18 -0.1200000E+03
  0.1540000E+00  0.1814121E-20  0.6104923E-19  0.7000000E+02 -0.2051038E-28  0.8853419E-27 -0.9235315E-18 -0.1200000E+03
  0.1560000E+00  0.1920742E-20  0.4148823E-19  0.7000000E+02 -0.1262177E-28 -0.5202191E-27 -0.1281749E-17 -0.1200000E+03
  0.1580000E+00  0.1980074E-20  0.1299990E-19  0.7000000E+02 -0.2839899E-28 -0.2100257E-27 -0.1753555E-17 -0.1200000E+03
  0.1600000E+00  0.1972742E-20 -0.2588517E-19  0.7000000E+02 -0.2208811E-28  0.3263484E-27 -0.2350143E-17 -0.1200000E+03
  0.1620000E+00  0.1876533E-20 -0.7646346E-19  0.7000000E+02 -0.3155444E-28 -0.3263484E-27 -0.3076508E-17 -0.1200000E+03
  0.1640000E+00  0.1666888E-20 -0.1396933E-18  0.7000000E+02 -0.3786532E-28 -0.2019484E-26 -0.3928546E-17 -0.1200000E+03
  0.1660000E+00  0.1317760E-20 -0.2159915E-18  0.7000000E+02 -0.4417621E-28 -0.2827277E-26 -0.4889779E-17 -0.1200000E+03
  0.1680000E+00  0.8029221E-21 -0.3049917E-18  0.7000000E+02 -0.6310887E-28 -0.5903355E-26 -0.5927837E-17 -0.1200000E+03
