Nepal_Main event 2016/ 4/15 Mag:7.00 FFM inverted from static-GPS/Strong-ground-motion/InSAR/Surf_offset
GF built reference to local 1-D model
Initial time at 16:25:5
Hypocenter at  32.76 N, 130.76 E, 12 km
Node locate at the center of each subfault

< Subevent sequence >
time   time-dur   lat     lon      depth   strike    dip      rake    Mo(Nm)      slip(m)    x    y       xinc   yinc  segnum subnum parnum
 13.558   8.00  32.928  131.044    1.050  228.870   70.746    0.000  0.000e+00    0.000 -31.805  11.715  2.26  2.38     1      1      1 
 13.250   8.00  32.933  131.037    3.294  229.085   69.939    0.000  0.000e+00    0.000 -31.809   9.242  2.26  2.51     1      2     17 
 13.004   8.00  32.938  131.030    5.756  229.330   70.952    0.000  0.000e+00    0.000 -31.820   6.667  2.26  2.58     1      3     33 
 12.847   8.00  32.943  131.023    8.170  229.576   72.864    0.000  0.000e+00    0.000 -31.838   4.218  2.26  2.26     1      4     49 
 12.771   8.00  32.947  131.017   10.085  229.772   70.799    0.000  0.000e+00    0.000 -31.862   2.048  2.26  2.03     1      5     65 
 12.756   8.00  32.951  131.012   12.000  229.968   70.056    0.000  0.000e+00    0.000 -31.890   0.000  2.26  2.04     1      6     81 
 12.784   8.00  32.955  131.006   13.915  230.990   69.570    0.000  0.000e+00    0.000 -31.894  -2.043  2.25  2.04     1      7     97 
 12.858   8.00  32.959  131.000   15.830  232.650   69.701    0.000  0.000e+00    0.000 -31.885  -4.083  2.23  2.04     1      8    113 
 12.983   8.00  32.963  130.994   17.745  234.333   69.851  155.000  1.011e+17    0.573 -31.876  -6.123  2.22  2.04     1      9    129 
 13.159   8.00  32.967  130.987   19.660  236.035   70.019  155.000  3.887e+17    2.219 -31.868  -8.163  2.21  2.04     1     10    145 
 13.382   8.00  32.971  130.981   21.576  237.752   70.205  155.000  4.817e+17    2.603 -31.862 -10.202  2.20  2.04     1     11    161 
 13.652   8.00  32.975  130.975   23.491  237.752   70.205  155.000  2.608e+17    1.413 -31.859 -12.241  2.20  2.04     1     12    177 
 12.716   8.00  32.915  131.025    1.050  229.281   70.551  -115.000  1.018e+17    0.757 -29.549  11.724  2.26  2.38     1     13    193 
 12.387   8.00  32.920  131.019    3.294  229.594   69.728  155.000  4.839e+17    2.908 -29.553   9.249  2.26  2.51     1     14    209 
 12.123   8.00  32.925  131.012    5.756  229.943   70.741    0.000  0.000e+00    0.000 -29.565   6.672  2.25  2.58     1     15    225 
 11.953   8.00  32.930  131.005    8.170  230.288   72.661    0.000  0.000e+00    0.000 -29.584   4.221  2.25  2.27     1     16    241 
 11.871   8.00  32.934  130.999   10.085  230.565   70.572    0.000  0.000e+00    0.000 -29.606   2.050  2.25  2.03     1     17    257 
 11.854   8.00  32.938  130.993   12.000  230.843   69.071    0.000  0.000e+00    0.000 -29.634   0.000  2.25  2.05     1     18    273 
 11.885   8.00  32.942  130.987   13.915  231.706   68.057    0.000  0.000e+00    0.000 -29.642  -2.043  2.25  2.06     1     19    289 
